drug	identifier	from	target
Fostamatinib	DB12010	DRUGBANK	ULK1
Fostamatinib	DB12010	DRUGBANK	ULK2
AZD-8055	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
BGT-226	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
CC-115	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
CC-223	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
DACTOLISIB	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
DS-3078A	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
DS-7423	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Everolimus	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Fostamatinib	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
GEDATOLISIB	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
OMIPALISIB	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
OSI-027	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
PALOMID-529	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
PANULISIB	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
PF-04691502	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
PKI-179	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
PWT-33579	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
PWT-33587	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Pimecrolimus	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
RG-7603	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Ridaforolimus	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Rimiducid	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
SAPANISERTIB	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
SF-1126	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
SF1126	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Sirolimus	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Temsirolimus	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
VS-5584	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
XL765	CHEMBL1801204	CHEMBL_COMPOUND	MTOR
Estradiol	DB00783	DRUGBANK	BECN1
Estradiol acetate	DB00783	DRUGBANK	BECN1
Estradiol benzoate	DB00783	DRUGBANK	BECN1
Estradiol cypionate	DB00783	DRUGBANK	BECN1
Estradiol dienanthate	DB00783	DRUGBANK	BECN1
Estradiol valerate	DB00783	DRUGBANK	BECN1
