drug	identifier	from	target
Cysteine-S-acetamide	DB02987	DRUGBANK	OAS1
BENTAMAPIMOD	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
CC-401	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
TANZISERTIB	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
AMG-548	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
ARRY-797	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AVE-9940	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AZD-6703	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AZD-7624	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
DORAMAPIMOD	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
GSK-610677	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
LEO-15520	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
LY-3007113	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PEXMETINIB	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PF-03715455	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PS-516895	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
R-1487	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
RO-3201195	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
RWJ-67657	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SB-85635	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SC-80036	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SCIO-323	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SD-0006	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
TA-5493	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
Nadroparin	DB08813	DRUGBANK	FOS
Fostamatinib	DB12010	DRUGBANK	IKBKE
Manganese	DB06757	DRUGBANK	TAB1
Acetylsalicylic acidCommonly known or available as Aspirin	DB00945	DRUGBANK	NFKBIA
Astaxanthin	DB00945	DRUGBANK	NFKBIA
Bardoxolone methyl	DB00945	DRUGBANK	NFKBIA
Arsenic trioxide	DB01169	DRUGBANK	JUN
Irbesartan	DB01169	DRUGBANK	JUN
LGD-1550	DB01169	DRUGBANK	JUN
Vinblastine	DB01169	DRUGBANK	JUN
AGRO100	DB04998	DRUGBANK	IKBKG
Tarenflurbil	DB04998	DRUGBANK	IKBKG
Acetylcysteine	DB06151	DRUGBANK	CHUK
Aminosalicylic acid	DB06151	DRUGBANK	CHUK
Mesalazine	DB06151	DRUGBANK	CHUK
Sulfasalazine	DB06151	DRUGBANK	CHUK
AS-602868	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Acetylcysteine	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Acetylsalicylic acidCommonly known or available as Aspirin	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Arsenic trioxide	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Auranofin	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
BARDOXOLONE METHYL	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Ertiprotafib	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Fostamatinib	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
IMD-0354	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
IMD-1041	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
IMD-2560	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
MLN-0415	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
MLN0415	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Mesalazine	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
SAR-113945	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Sulfasalazine	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Andrographolide	DB05767	DRUGBANK	NFKB1
Custirsen	DB05767	DRUGBANK	NFKB1
HE3286	DB05767	DRUGBANK	NFKB1
NOX-700	DB05767	DRUGBANK	NFKB1
P54	DB05767	DRUGBANK	NFKB1
Pranlukast	DB05767	DRUGBANK	NFKB1
Pseudoephedrine	DB05767	DRUGBANK	NFKB1
SGN-30	DB05767	DRUGBANK	NFKB1
Thalidomide	DB05767	DRUGBANK	NFKB1
Triflusal	DB05767	DRUGBANK	NFKB1
ABROCITINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
BARICITINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
CERDULATINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
FILGOTINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
GLPG-0555	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
INCB-047986	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
ITACITINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
MOMELOTINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
PEFICITINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
RUXOLITINIB PHOSPHATE	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
SOLCITINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
TOFACITINIB CITRATE	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
TRICETAMIDE	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
UPADACITINIB	CHEMBL3655081	CHEMBL_COMPOUND	JAK1
CERDULATINIB	CHEMBL3545284	CHEMBL_COMPOUND	TYK2
PEFICITINIB	CHEMBL3545284	CHEMBL_COMPOUND	TYK2
TOFACITINIB CITRATE	CHEMBL3545284	CHEMBL_COMPOUND	TYK2
UPADACITINIB	CHEMBL3545284	CHEMBL_COMPOUND	TYK2
Beta-D-Glucose	DB02379	DRUGBANK	IFNB1
FARALIMOMAB	CHEMBL2108407	CHEMBL_COMPOUND	IFNA1
RONTALIZUMAB	CHEMBL2108407	CHEMBL_COMPOUND	IFNA1
SIFALIMUMAB	CHEMBL2108407	CHEMBL_COMPOUND	IFNA1
ALBINTERFERON ALFA-2B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
ANIFROLUMAB	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Human interferon beta	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
INTERFERON ALFA-2A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
INTERFERON ALFA-2B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
INTERFERON ALFA-N3	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
INTERFERON ALFACON-1	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
INTERFERON BETA-1A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
INTERFERON BETA-1B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon alfa	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon alfa-2a, Recombinant	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon alfa-2b	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon alfa-n1	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon alfa-n3	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon alfacon-1	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon beta-1a	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Interferon beta-1b	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
PEGINTERFERON ALFA-2A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
PEGINTERFERON ALFA-2B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
PEGINTERFERON BETA-1A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Peginterferon alfa-2a	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
Peginterferon alfa-2b	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
omega interferon	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR1
ALBINTERFERON ALFA-2B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
INTERFERON ALFA-2A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
INTERFERON ALFA-2B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
INTERFERON ALFA-N3	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
INTERFERON ALFACON-1	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
INTERFERON BETA-1A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
INTERFERON BETA-1B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Interferon alfa-2a, Recombinant	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Interferon alfa-2b	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Interferon alfa-n1	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Interferon alfa-n3	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Interferon alfacon-1	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Interferon beta-1a	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Interferon beta-1b	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Nylidrin	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
PEGINTERFERON ALFA-2A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
PEGINTERFERON ALFA-2B	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
PEGINTERFERON BETA-1A	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Peginterferon alfa-2a	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
Peginterferon alfa-2b	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
omega interferon	CHEMBL2107842	CHEMBL_COMPOUND	IFNAR2
ANA971	DB05127	DRUGBANK	TLR7
Golotimod	DB05127	DRUGBANK	TLR7
HYDROXYCHLOROQUINE SULFATE	DB05127	DRUGBANK	TLR7
Hydroxychloroquine	DB05127	DRUGBANK	TLR7
IMIQUIMOD	DB05127	DRUGBANK	TLR7
Imiquimod	DB05127	DRUGBANK	TLR7
Isatoribine	DB05127	DRUGBANK	TLR7
Resiquimod	DB05127	DRUGBANK	TLR7
