drug	identifier	from	target
Bacitracin	DB00626	DRUGBANK	IDE
Insulin pork	DB00626	DRUGBANK	IDE
Amitriptyline	DB00321	DRUGBANK	SIGMAR1
Arylacenamide	DB00321	DRUGBANK	SIGMAR1
CARBETAPENTANE CITRATE	DB00321	DRUGBANK	SIGMAR1
Captodiame	DB00321	DRUGBANK	SIGMAR1
Cocaine	DB00321	DRUGBANK	SIGMAR1
DEXTROMETHORPHAN HYDROBROMIDE	DB00321	DRUGBANK	SIGMAR1
DEXTROMETHORPHAN POLISTIREX	DB00321	DRUGBANK	SIGMAR1
Dextromethorphan	DB00321	DRUGBANK	SIGMAR1
Dimethyltryptamine	DB00321	DRUGBANK	SIGMAR1
FENFLURAMINE HYDROCHLORIDE	DB00321	DRUGBANK	SIGMAR1
Haloperidol	DB00321	DRUGBANK	SIGMAR1
Hydrocodone	DB00321	DRUGBANK	SIGMAR1
Naltrexone	DB00321	DRUGBANK	SIGMAR1
Noscapine	DB00321	DRUGBANK	SIGMAR1
PENTAZOCINE HYDROCHLORIDE	DB00321	DRUGBANK	SIGMAR1
PENTAZOCINE LACTATE	DB00321	DRUGBANK	SIGMAR1
Pentazocine	DB00321	DRUGBANK	SIGMAR1
Pentoxyverine	DB00321	DRUGBANK	SIGMAR1
Phencyclidine	DB00321	DRUGBANK	SIGMAR1
Prasterone	DB00321	DRUGBANK	SIGMAR1
Remoxipride	DB00321	DRUGBANK	SIGMAR1
