drug	identifier	from	target
Fostamatinib	DB12010	DRUGBANK	ERN1
N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine	DB12010	DRUGBANK	ERN1
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB02506	DRUGBANK	PPP1CA
9,10-Deepithio-9,10-Didehydroacanthifolicin	DB02169	DRUGBANK	PPP1CC
Calyculin A	DB02169	DRUGBANK	PPP1CC
Motuporin	DB02169	DRUGBANK	PPP1CC
Quercetin	DB04216	DRUGBANK	CEBPB
Fostamatinib	DB12010	DRUGBANK	EIF2AK2
BENTAMAPIMOD	CHEMBL3545213	CHEMBL_COMPOUND	MAPK9
CC-401	CHEMBL3545213	CHEMBL_COMPOUND	MAPK9
TANZISERTIB	CHEMBL3545213	CHEMBL_COMPOUND	MAPK9
BENTAMAPIMOD	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
CC-401	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
TANZISERTIB	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
BENTAMAPIMOD	CHEMBL3545213	CHEMBL_COMPOUND	MAPK10
CC-401	CHEMBL3545213	CHEMBL_COMPOUND	MAPK10
TANZISERTIB	CHEMBL3545213	CHEMBL_COMPOUND	MAPK10
