drug	identifier	from	target
CILAZAPRIL	CHEMBL515606	CHEMBL_COMPOUND	ACE2
Chloroquine	CHEMBL515606	CHEMBL_COMPOUND	ACE2
Hydroxychloroquine	CHEMBL515606	CHEMBL_COMPOUND	ACE2
N-(2-Aminoethyl)-1-aziridineethanamine	CHEMBL515606	CHEMBL_COMPOUND	ACE2
SPP1148	CHEMBL515606	CHEMBL_COMPOUND	ACE2
BENAZEPRIL HYDROCHLORIDE	CHEMBL1694	CHEMBL_COMPOUND	ACE
Benazepril	CHEMBL1694	CHEMBL_COMPOUND	ACE
CAPTOPRIL	CHEMBL1694	CHEMBL_COMPOUND	ACE
CILAZAPRIL	CHEMBL1694	CHEMBL_COMPOUND	ACE
Candoxatril	CHEMBL1694	CHEMBL_COMPOUND	ACE
Captopril	CHEMBL1694	CHEMBL_COMPOUND	ACE
Cilazapril	CHEMBL1694	CHEMBL_COMPOUND	ACE
Cilazaprilat	CHEMBL1694	CHEMBL_COMPOUND	ACE
ENALAPRIL MALEATE	CHEMBL1694	CHEMBL_COMPOUND	ACE
ENALAPRILAT	CHEMBL1694	CHEMBL_COMPOUND	ACE
Enalapril	CHEMBL1694	CHEMBL_COMPOUND	ACE
Enalaprilat	CHEMBL1694	CHEMBL_COMPOUND	ACE
Epicaptopril	CHEMBL1694	CHEMBL_COMPOUND	ACE
FOSINOPRIL SODIUM	CHEMBL1694	CHEMBL_COMPOUND	ACE
Fosinopril	CHEMBL1694	CHEMBL_COMPOUND	ACE
LISINOPRIL	CHEMBL1694	CHEMBL_COMPOUND	ACE
Lisinopril	CHEMBL1694	CHEMBL_COMPOUND	ACE
MOEXIPRIL HYDROCHLORIDE	CHEMBL1694	CHEMBL_COMPOUND	ACE
Moexipril	CHEMBL1694	CHEMBL_COMPOUND	ACE
N-acetyl-alpha-D-glucosamine	CHEMBL1694	CHEMBL_COMPOUND	ACE
Omapatrilat	CHEMBL1694	CHEMBL_COMPOUND	ACE
PERINDOPRIL ARGININE	CHEMBL1694	CHEMBL_COMPOUND	ACE
PERINDOPRIL ERBUMINE	CHEMBL1694	CHEMBL_COMPOUND	ACE
Perindopril	CHEMBL1694	CHEMBL_COMPOUND	ACE
QUINAPRIL HYDROCHLORIDE	CHEMBL1694	CHEMBL_COMPOUND	ACE
Quinapril	CHEMBL1694	CHEMBL_COMPOUND	ACE
RAMIPRIL	CHEMBL1694	CHEMBL_COMPOUND	ACE
Ramipril	CHEMBL1694	CHEMBL_COMPOUND	ACE
Rescinnamine	CHEMBL1694	CHEMBL_COMPOUND	ACE
SPIRAPRIL HYDROCHLORIDE	CHEMBL1694	CHEMBL_COMPOUND	ACE
Spirapril	CHEMBL1694	CHEMBL_COMPOUND	ACE
TRANDOLAPRIL	CHEMBL1694	CHEMBL_COMPOUND	ACE
Temocapril	CHEMBL1694	CHEMBL_COMPOUND	ACE
Trandolapril	CHEMBL1694	CHEMBL_COMPOUND	ACE
Zofenopril	CHEMBL1694	CHEMBL_COMPOUND	ACE
ALISKIREN FUMARATE	CHEMBL3545059	CHEMBL_COMPOUND	REN
Copper	DB09130	DRUGBANK	AGT
Sparsentan	DB09130	DRUGBANK	AGT
Zinc	DB09130	DRUGBANK	AGT
Zinc acetate	DB09130	DRUGBANK	AGT
CYT006-AngQb	DB05739	DRUGBANK	AGTR2
Tasosartan	DB05739	DRUGBANK	AGTR2
TXA127	CHEMBL3545347	CHEMBL_COMPOUND	MAS1
ANGIOTENSIN II ACETATE	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
AZILSARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
AZILSARTAN KAMEDOXOMIL	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Angiotensin II	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Azilsartan medoxomil	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
CANDESARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
CANDESARTAN CILEXETIL	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
CYT006-AngQb	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Candesartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Candesartan cilexetil	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
EPROSARTAN MESYLATE	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Eprosartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Fimasartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Forasartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
IRBESARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Irbesartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
LOSARTAN POTASSIUM	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Losartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
OLMESARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
OLMESARTAN MEDOXOMIL	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Olmesartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
PRATOSARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
SARALASIN ACETATE	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
SPARSENTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Saprisartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
TASOSARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
TELMISARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Tasosartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Telmisartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
VALSARTAN	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
Valsartan	CHEMBL3989932	CHEMBL_COMPOUND	AGTR1
