drug	identifier	from	target
Fostamatinib	DB12010	DRUGBANK	MAP3K4
EMRICASAN	CHEMBL197672	CHEMBL_COMPOUND	CASP9
NIVOCASAN	CHEMBL197672	CHEMBL_COMPOUND	CASP9
Apoptone	DB06307	DRUGBANK	BCL2
Dexibuprofen	DB06307	DRUGBANK	BCL2
Docetaxel	DB06307	DRUGBANK	BCL2
Eribulin	DB06307	DRUGBANK	BCL2
Glycine betaine	DB06307	DRUGBANK	BCL2
Ibuprofen	DB06307	DRUGBANK	BCL2
Isosorbide	DB06307	DRUGBANK	BCL2
NAVITOCLAX	DB06307	DRUGBANK	BCL2
Navitoclax	DB06307	DRUGBANK	BCL2
OBATOCLAX MESYLATE	DB06307	DRUGBANK	BCL2
Obatoclax	DB06307	DRUGBANK	BCL2
Paclitaxel	DB06307	DRUGBANK	BCL2
Paclitaxel docosahexaenoic acid	DB06307	DRUGBANK	BCL2
Rasagiline	DB06307	DRUGBANK	BCL2
VENETOCLAX	DB06307	DRUGBANK	BCL2
Venetoclax	DB06307	DRUGBANK	BCL2
Fostamatinib	DB12010	DRUGBANK	ERN1
N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine	DB12010	DRUGBANK	ERN1
1D-myo-inositol 1,4,5-trisphosphate	DB03401	DRUGBANK	ITPR1
Glycerin	DB03401	DRUGBANK	ITPR1
1D-myo-inositol 1,4,5-trisphosphate	DB03401	DRUGBANK	ITPR3
Glycerin	DB03401	DRUGBANK	ITPR3
1D-myo-inositol 1,4,5-trisphosphate	DB03401	DRUGBANK	ITPR2
Glycerin	DB03401	DRUGBANK	ITPR2
Caffeine	DB00201	DRUGBANK	RYR1
DANTROLENE SODIUM	DB00201	DRUGBANK	RYR1
Dantrolene	DB00201	DRUGBANK	RYR1
Suramin	DB00201	DRUGBANK	RYR1
Tetracaine	DB00201	DRUGBANK	RYR1
Acetylsalicylic acidCommonly known or available as Aspirin	DB00945	DRUGBANK	HSPA5
Antihemophilic factor, human recombinant	DB00945	DRUGBANK	HSPA5
Copper	DB00945	DRUGBANK	HSPA5
Lonoctocog alfa	DB00945	DRUGBANK	HSPA5
Moroctocog alfa	DB00945	DRUGBANK	HSPA5
Gossypol	DB13044	DRUGBANK	BCL2L1
Isosorbide	DB13044	DRUGBANK	BCL2L1
NAVITOCLAX	DB13044	DRUGBANK	BCL2L1
OBATOCLAX MESYLATE	DB13044	DRUGBANK	BCL2L1
SELONSERTIB	CHEMBL3916717	CHEMBL_COMPOUND	MAP3K5
EMRICASAN	CHEMBL197672	CHEMBL_COMPOUND	CASP3
BENTAMAPIMOD	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
CC-401	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
TANZISERTIB	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
Bardoxolone	DB12651	DRUGBANK	CASP8
EMRICASAN	DB12651	DRUGBANK	CASP8
NIVOCASAN	DB12651	DRUGBANK	CASP8
EMRICASAN	CHEMBL197672	CHEMBL_COMPOUND	CASP4
Fostamatinib	DB12010	DRUGBANK	EIF2AK1
Fostamatinib	DB12010	DRUGBANK	EIF2AK2
(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid	DB06905	DRUGBANK	PPP2CA
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB06905	DRUGBANK	PPP2CA
D-alpha-Tocopherol acetate	DB06905	DRUGBANK	PPP2CA
Vitamin E	DB06905	DRUGBANK	PPP2CA
alpha-Tocopherol succinate	DB06905	DRUGBANK	PPP2CA
Amitriptyline	DB00321	DRUGBANK	SIGMAR1
Arylacenamide	DB00321	DRUGBANK	SIGMAR1
CARBETAPENTANE CITRATE	DB00321	DRUGBANK	SIGMAR1
Captodiame	DB00321	DRUGBANK	SIGMAR1
Cocaine	DB00321	DRUGBANK	SIGMAR1
DEXTROMETHORPHAN HYDROBROMIDE	DB00321	DRUGBANK	SIGMAR1
DEXTROMETHORPHAN POLISTIREX	DB00321	DRUGBANK	SIGMAR1
