drug	identifier	from	target
DARATUMUMAB	CHEMBL1743007	CHEMBL_COMPOUND	CD38
Daratumumab	CHEMBL1743007	CHEMBL_COMPOUND	CD38
HUMAX-IL15	CHEMBL1743007	CHEMBL_COMPOUND	CD38
ISATUXIMAB	CHEMBL1743007	CHEMBL_COMPOUND	CD38
Isatuximab	CHEMBL1743007	CHEMBL_COMPOUND	CD38
Inosinic Acid	DB04566	DRUGBANK	IMPDH2
MYCOPHENOLATE MOFETIL	DB04566	DRUGBANK	IMPDH2
MYCOPHENOLATE MOFETIL HYDROCHLORIDE	DB04566	DRUGBANK	IMPDH2
MYCOPHENOLIC ACID	DB04566	DRUGBANK	IMPDH2
Mycophenolate mofetil	DB04566	DRUGBANK	IMPDH2
Mycophenolic acid	DB04566	DRUGBANK	IMPDH2
NADH	DB04566	DRUGBANK	IMPDH2
Ribavirin	DB04566	DRUGBANK	IMPDH2
Selenazole-4-carboxyamide-adenine dinucleotide	DB04566	DRUGBANK	IMPDH2
THIOGUANINE	DB04566	DRUGBANK	IMPDH2
VX-148	DB04566	DRUGBANK	IMPDH2
Pentoxifylline	DB00806	DRUGBANK	NT5E
Tetramethylammonium	DB03095	DRUGBANK	GALE
UDP-alpha-D-glucuronic acid	DB03095	DRUGBANK	GALE
Uridine diphosphate glucose	DB03095	DRUGBANK	GALE
Uridine-Diphosphate-N-Acetylgalactosamine	DB03095	DRUGBANK	GALE
Uridine-Diphosphate-N-Acetylglucosamine	DB03095	DRUGBANK	GALE
Daporinad	DB12731	DRUGBANK	NAMPT
GMX1777	DB12731	DRUGBANK	NAMPT
TEGLARINAD CHLORIDE	DB12731	DRUGBANK	NAMPT
Aspartic acid	DB00128	DRUGBANK	PAICS
Glutamic acid	DB00142	DRUGBANK	NADSYN1
AGALSIDASE ALFA	CHEMBL2108214	CHEMBL_COMPOUND	GLA
MIGALASTAT	CHEMBL2108214	CHEMBL_COMPOUND	GLA
MIGALASTAT HYDROCHLORIDE	CHEMBL2108214	CHEMBL_COMPOUND	GLA
Migalastat	CHEMBL2108214	CHEMBL_COMPOUND	GLA
Elacytarabine	DB05494	DRUGBANK	DCK
Fludarabine	DB05494	DRUGBANK	DCK
Citric acid	DB04272	DRUGBANK	ITPA
FORODESINE HYDROCHLORIDE	CHEMBL550755	CHEMBL_COMPOUND	PNP
TOLRESTAT	CHEMBL436	CHEMBL_COMPOUND	AKR1B1
MYCOPHENOLATE MOFETIL	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
MYCOPHENOLATE MOFETIL HYDROCHLORIDE	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
MYCOPHENOLIC ACID	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
Mycophenolate mofetil	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
Mycophenolic acid	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
NADH	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
RIBAVIRIN	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
Ribavirin	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
THIOGUANINE	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
Taribavirin	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
VX-148	CHEMBL1456	CHEMBL_COMPOUND	IMPDH1
Glutamic acid	DB00142	DRUGBANK	PFAS
PENTOSTATIN	CHEMBL1580	CHEMBL_COMPOUND	ADA
7-thionicotinamide-adenine-dinucleotide phosphate	DB01763	DRUGBANK	NNT
NADH	DB01763	DRUGBANK	NNT
Nicotinamide adenine dinucleotide phosphate	DB01763	DRUGBANK	NNT
Xanthinol	DB01763	DRUGBANK	NNT
Adenosine-5-Diphosphoribose	DB02059	DRUGBANK	SIRT5
Cambinol	DB02059	DRUGBANK	SIRT5
Nicotinamide	DB02059	DRUGBANK	SIRT5
Suramin	DB02059	DRUGBANK	SIRT5
5-O-phosphono-alpha-D-ribofuranosyl diphosphate	DB01632	DRUGBANK	APRT
9-Deazaadenine	DB01632	DRUGBANK	APRT
Adenine	DB01632	DRUGBANK	APRT
Citric acid	DB01632	DRUGBANK	APRT
Niacin	DB00627	DRUGBANK	QPRT
2-(N-morpholino)ethanesulfonic acid	DB03814	DRUGBANK	B4GALT1
N-Acetylglucosamine	DB03814	DRUGBANK	B4GALT1
Uridine monophosphate	DB03814	DRUGBANK	B4GALT1
Palmitic Acid	DB03796	DRUGBANK	LALBA
Adenosine Phosphonoacetic Acid	DB02607	DRUGBANK	NME1
Copper	DB02607	DRUGBANK	NME1
Selenocysteine	DB02607	DRUGBANK	NME1
Stavudine triphosphate	DB02607	DRUGBANK	NME1
Zidovudine diphosphate	DB02607	DRUGBANK	NME1
Zinc	DB02607	DRUGBANK	NME1
Zinc acetate	DB02607	DRUGBANK	NME1
Zinc chloride	DB02607	DRUGBANK	NME1
ALLOPURINOL	CHEMBL1467	CHEMBL_COMPOUND	XDH
ALLOPURINOL SODIUM	CHEMBL1467	CHEMBL_COMPOUND	XDH
Allopurinol	CHEMBL1467	CHEMBL_COMPOUND	XDH
BENDAZAC	CHEMBL1467	CHEMBL_COMPOUND	XDH
Dioxo(sulfanyl)molybdenum	CHEMBL1467	CHEMBL_COMPOUND	XDH
Eniluracil	CHEMBL1467	CHEMBL_COMPOUND	XDH
FEBUXOSTAT	CHEMBL1467	CHEMBL_COMPOUND	XDH
Febuxostat	CHEMBL1467	CHEMBL_COMPOUND	XDH
Flavin adenine dinucleotide	CHEMBL1467	CHEMBL_COMPOUND	XDH
Levocarnitine	CHEMBL1467	CHEMBL_COMPOUND	XDH
Niraxostat	CHEMBL1467	CHEMBL_COMPOUND	XDH
Oxypurinol	CHEMBL1467	CHEMBL_COMPOUND	XDH
Topiroxostat	CHEMBL1467	CHEMBL_COMPOUND	XDH
Phosphoaminophosphonic Acid-Adenylate Ester	DB04395	DRUGBANK	GALK1
PEMETREXED DISODIUM	CHEMBL2360464	CHEMBL_COMPOUND	GART
CLOFARABINE	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Cladribine	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Clofarabine	CHEMBL1750	CHEMBL_COMPOUND	RRM1
FLUDARABINE PHOSPHATE	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Fludarabine	CHEMBL1750	CHEMBL_COMPOUND	RRM1
GALLIUM NITRATE	CHEMBL1750	CHEMBL_COMPOUND	RRM1
GEMCITABINE HYDROCHLORIDE	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Gallium maltolate	CHEMBL1750	CHEMBL_COMPOUND	RRM1
Gemcitabine	CHEMBL1750	CHEMBL_COMPOUND	RRM1
