drug	identifier	from	target
BENTAMAPIMOD	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
CC-401	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
TANZISERTIB	CHEMBL3545213	CHEMBL_COMPOUND	MAPK8
BENTAMAPIMOD	CHEMBL3545213	CHEMBL_COMPOUND	MAPK9
CC-401	CHEMBL3545213	CHEMBL_COMPOUND	MAPK9
TANZISERTIB	CHEMBL3545213	CHEMBL_COMPOUND	MAPK9
Fostamatinib	DB12010	DRUGBANK	TBK1
Fostamatinib	DB12010	DRUGBANK	RIPK1
Nadroparin	DB08813	DRUGBANK	FOS
Arsenic trioxide	DB01169	DRUGBANK	JUN
Irbesartan	DB01169	DRUGBANK	JUN
LGD-1550	DB01169	DRUGBANK	JUN
Vinblastine	DB01169	DRUGBANK	JUN
Acetylcysteine	DB06151	DRUGBANK	CHUK
Aminosalicylic acid	DB06151	DRUGBANK	CHUK
Mesalazine	DB06151	DRUGBANK	CHUK
Sulfasalazine	DB06151	DRUGBANK	CHUK
AGRO100	DB04998	DRUGBANK	IKBKG
Tarenflurbil	DB04998	DRUGBANK	IKBKG
AS-602868	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Acetylcysteine	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Acetylsalicylic acidCommonly known or available as Aspirin	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Arsenic trioxide	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Auranofin	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
BARDOXOLONE METHYL	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Ertiprotafib	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Fostamatinib	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
IMD-0354	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
IMD-1041	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
IMD-2560	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
MLN-0415	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
MLN0415	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Mesalazine	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
SAR-113945	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Sulfasalazine	CHEMBL129857	CHEMBL_COMPOUND	IKBKB
Fostamatinib	DB12010	DRUGBANK	IKBKE
AMG-548	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
ARRY-797	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AVE-9940	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AZD-6703	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
AZD-7624	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
DORAMAPIMOD	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
GSK-610677	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
LEO-15520	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
LY-3007113	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PEXMETINIB	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PF-03715455	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
PS-516895	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
R-1487	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
RO-3201195	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
RWJ-67657	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SB-85635	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SC-80036	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SCIO-323	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
SD-0006	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
TA-5493	CHEMBL585902	CHEMBL_COMPOUND	MAPK14
Bardoxolone	DB12651	DRUGBANK	CASP8
EMRICASAN	DB12651	DRUGBANK	CASP8
NIVOCASAN	DB12651	DRUGBANK	CASP8
EMRICASAN	CHEMBL197672	CHEMBL_COMPOUND	CASP10
Fostamatinib	DB12010	DRUGBANK	MAP2K3
Fostamatinib	DB12010	DRUGBANK	IRAK1
Acetylsalicylic acidCommonly known or available as Aspirin	DB00945	DRUGBANK	NFKBIA
Astaxanthin	DB00945	DRUGBANK	NFKBIA
Bardoxolone methyl	DB00945	DRUGBANK	NFKBIA
Fostamatinib	DB12010	DRUGBANK	EIF2AK2
ANA971	DB05127	DRUGBANK	TLR7
Golotimod	DB05127	DRUGBANK	TLR7
HYDROXYCHLOROQUINE SULFATE	DB05127	DRUGBANK	TLR7
Hydroxychloroquine	DB05127	DRUGBANK	TLR7
IMIQUIMOD	DB05127	DRUGBANK	TLR7
Imiquimod	DB05127	DRUGBANK	TLR7
Isatoribine	DB05127	DRUGBANK	TLR7
Resiquimod	DB05127	DRUGBANK	TLR7
Imiquimod	DB00724	DRUGBANK	TLR8
Resiquimod	DB00724	DRUGBANK	TLR8
RINTATOLIMOD	CHEMBL2107862	CHEMBL_COMPOUND	TLR3
Fostamatinib	DB12010	DRUGBANK	MAP2K6
