Name	HGNC Symbol
CASP7	CASP7,
MAPK14	MAPK14,
TRADD	TRADD,
BIM	
BAD	BAD,
PUMA	
CASP8	CASP8,
CASP8	CASP8,
SARS 3a	
BAX	BAX,
Cytochrome C	
BAX	BAX,
CASP9	CASP9,
BIM	
BAD	BAD,
PUMA	
SARS E,7a	
BCL2	BCL2,
BCL-XL	
MCL1	MCL1,
BID	BID,
TRADD	TRADD,
FADD	FADD,
CASP3	CASP3,
AKT	
FADD	FADD,
Cytochrome C	
SARS M	
CASP3	CASP3,
APAF1	APAF1,
MAPK14	MAPK14,
CASP9	CASP9,
Pro-casp9	
FAS	FAS,
FASL	
FADD	FADD,
BCL2	BCL2,
BCL-XL	
MCL1	MCL1,
CASP7	CASP7,
AKT	
TNFA	
TNFR1	
BID	BID,
Cytochrome C	
APAF1	APAF1,
FASL	
TNFR1	
FAS	FAS,
TNFA	
ULK1	ULK1,
ULK2	ULK2,
ATG13	ATG13,
RB1CC1	RB1CC1,
ATG7	ATG7,
ATG3	ATG3,
ATG4A	ATG4A,
ATG7	ATG7,
ATG10	ATG10,
MTOR	MTOR,
PIK3R4	PIK3R4,
PIK3C3	PIK3C3,
BECN1	BECN1,
MTOR	MTOR,
ZFYVE1	ZFYVE1,
WIPI1	WIPI1,
ATG12	ATG12,
MAP1LC3A	MAP1LC3A,
ATG12	ATG12,
ULK1	ULK1,
ULK2	ULK2,
MAP1LC3A	MAP1LC3A,
BCL2L11	BCL2L11,
BCL2L11	BCL2L11,
EIF2S2	EIF2S2,
MAP3K4	MAP3K4,
Met-tRNA	
cleaved~CASP9	CASP9,
TRAF2	TRAF2,
ERO1A	ERO1A,
BCL2	BCL2,
BAX	BAX,
ERN1	ERN1,
BAK1	BAK1,
ATF6	ATF6,
Unfolded protein	
ITPR	ITPR1,ITPR3,ITPR2,
Unfolded protein	
ITPR	ITPR1,ITPR3,ITPR2,
RYR1	RYR1,
BCL2L11	BCL2L11,
ERN1	ERN1,
HSPA5	HSPA5,
TMBIM6	TMBIM6,
EIF2AK3	EIF2AK3,
EIF2AK3	EIF2AK3,
ERN1	ERN1,
Unfolded protein	
ERN1	ERN1,
EIF2AK3	EIF2AK3,
BBC3	BBC3,
TMBIM6	TMBIM6,
BCL2L11	BCL2L11,
BAK1	BAK1,
ERN1	ERN1,
BAX	BAX,
ERN1	ERN1,
HSPA5	HSPA5,
ATF6	ATF6,
ERN1	ERN1,
TRAF2	TRAF2,
Unfolded protein	
BBC3	BBC3,
ERN1	ERN1,
BCL2L1	BCL2L1,
MAP3K5	MAP3K5,
BAX	BAX,
CASP3	CASP3,
MAPK8	MAPK8,
ATF4	ATF4,
CASP8	CASP8,
CASP8	CASP8,
CASP8	CASP8,
FADD	FADD,
FADD	FADD,
cleaved~CASP4	CASP4,
EIF2AK1	EIF2AK1,
EIF2AK2	EIF2AK2,
PPP2CA	PPP2CA,
HSPA9	HSPA9,
SIGMAR1	SIGMAR1,
HSPA5	HSPA5,
ITPR	ITPR1,ITPR3,ITPR2,
VDAC	
PPP1R15A	PPP1R15A,
MAPK8	MAPK8,
BID	BID,
cleaved~CASP3	CASP3,
AP-1	
CAPN1	CAPN1,
CDK5	CDK5,
ATF6	ATF6,
MBTPS2	MBTPS2,
MBTPS1	MBTPS1,
ATF6	ATF6,
ATF6	ATF6,
BID	BID,
CDK5	CDK5,
AP-1	
TRIB3	TRIB3,
EIF2S1	EIF2S1,
EIF2S2	EIF2S2,
EIF2S3	EIF2S3,
EIF2S1	EIF2S1,
EIF2AK2	EIF2AK2,
TRAF2	TRAF2,
MAP1LC3A	MAP1LC3A,
ATG5	ATG5,
MAP1LC3A	MAP1LC3A,
SQSTM1 	SQSTM1,
ATG5	ATG5,
FADD	FADD,
FADD	FADD,
CASP8	CASP8,
CASP8	CASP8,
SQSTM1 	SQSTM1,
MAPK14	MAPK14,
CASP4	CASP4,
EIF2S2	EIF2S2,
EIF2S3	EIF2S3,
EIF2S1	EIF2S1,
DNAJC3	DNAJC3,
CASP9	CASP9,
EIF2S1	EIF2S1,
TRIM13	TRIM13,
