identifier_hgnc_symbol	color
BAX	#fdae6b
CASP8	#fdae6b
BAD	#fdae6b
CASP9	#fdae6b
FADD	#fdae6b
BID	#fdae6b
CASP3	#fdae6b
BCL2	#fdae6b
BAX	#fdae6b
BCL2	#fdae6b
HSPA5	#fdae6b
EIF2S1	#fdae6b
BAK1	#fdae6b
EIF2AK3	#fdae6b
ATF4	#fdae6b
BCL2L1	#fdae6b
BBC3	#fdae6b
BCL2L11	#fdae6b
EIF2AK4	#fdae6b
CASP8	#fdae6b
EIF2B5	#fdae6b
BID	#fdae6b
MAP3K5	#fdae6b
TRAF2	#fdae6b
DDIT3	#fdae6b
CASP3	#fdae6b
CHUK	#fdae6b
IKBKB	#fdae6b
NFKB1	#fdae6b
MYD88	#fdae6b
IKBKG	#fdae6b
IKBKE	#fdae6b
MAPK14	#fdae6b
STAT1	#fdae6b
TLR7	#fdae6b
NFKBIA	#fdae6b
TBK1	#fdae6b
JUN	#fdae6b
MAP3K7	#fdae6b
MAPK8	#fdae6b
FOS	#fdae6b
CHUK	#fdae6b
IRAK1	#fdae6b
MYD88	#fdae6b
IKBKG	#fdae6b
DDX58	#fdae6b
IKBKB	#fdae6b
TLR3	#fdae6b
TLR7	#fdae6b
IKBKE	#fdae6b
TICAM1	#fdae6b
TBK1	#fdae6b
MAP3K7	#fdae6b
RIPK1	#fdae6b
TRAF6	#fdae6b
TLR8	#fdae6b
MAVS	#fdae6b
IFIH1	#fdae6b
ITCH	#fdae6b
FADD	#fdae6b
IRAK4	#fdae6b
IRF3	#fdae6b
IRF7	#fdae6b
UBE2N	#fdae6b
MAPK14	#fdae6b
TRADD	#fdae6b
TRAF2	#fdae6b
TRIM25	#fdae6b
CASP8	#fdae6b
MAP2K6	#fdae6b
