Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	VCAP	BRD-K67414432	10.0	24	2/11	0.923	BAD, CASP3
2	VCAP	gefitinib	10.0	24	1/3	0.818	CASP3
3	PC3	ici-162,846	10.0	24	1/3	0.818	BAX
4	MCF7	t_0901317	10.0	24	1/4	0.524	BAD
5	MCF7	e6_berbamine	10.0	24	1/5	0.350	BAD
6	VCAP	zd_7155_hydrochloride	10.0	6	1/5	0.350	BAX
7	HCC515	lfm-a13	111.11	24	1/6	0.231	BAD
8	ASC	BRD-K25311561	10.0	24	1/6	0.231	BAD
9	VCAP	BRD-K61717269	10.0	24	4/111	0.154	BAD, BAX, BID, CASP3
10	PC3	anisomycin	10.0	6	2/28	0.147	BAD, CASP3
11	VCAP	BRD-K31706415	10.0	24	2/28	0.147	BAD, CASP3
12	MCF7	ci_976	80.0	24	1/7	0.147	BAD
13	VCAP	pyrimethamine	10.0	24	1/7	0.147	BAD
14	MCF7	cv_1808	10.0	6	1/7	0.147	BAX
15	MCF7	cp_55,940	10.0	24	1/8	0.091	BAD
16	MCF7	BRD-K35004659	10.0	6	1/8	0.091	BAD
17	VCAP	resveratrol	10.0	6	1/8	0.091	BAD
