Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	VCAP	BRD-K67414432	10.0	24	2/21	0.875	BAD, CASP3
2	VCAP	gefitinib	10.0	24	1/7	0.542	CASP3
3	HEPG2	BRD-K05649647	20.0	6	3/68	0.472	BAD, BCL2, CASP8
4	HCC515	lfm-a13	111.11	24	1/10	0.250	BAD
5	VCAP	latanoprost	10.0	24	2/43	0.208	BAX, BID
6	HCC515	gw_843682x	10.0	24	2/43	0.208	BAD, BID
7	VCAP	BRD-K31706415	10.0	24	2/47	0.153	BAD, CASP3
8	VCAP	zd_7155_hydrochloride	10.0	6	1/12	0.139	BAX
9	A549	BMS-777607	10	24	1/12	0.139	BAX
10	A549	KIN001-220	0.37	24	1/13	0.083	BAX
11	A549	ON-01910	0.12	24	1/13	0.083	BAX
