Term id	Term Definition	Enrichment	Corrected pvalue
GO:0097191	extrinsic apoptotic signaling pathway	11/96	0.0013
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	9/85	0.0023
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	7/33	0.0031
GO:0097190	apoptotic signaling pathway	12/282	0.0038
GO:0051402	neuron apoptotic process	7/44	0.004
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	9/125	0.006
GO:0070997	neuron death	7/52	0.0062
GO:0010952	positive regulation of peptidase activity	10/190	0.0067
GO:0010950	positive regulation of endopeptidase activity	9/171	0.0092
GO:2001056	positive regulation of cysteine-type endopeptidase activity	9/142	0.0103
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	9/210	0.0104
GO:2001235	positive regulation of apoptotic signaling pathway	9/183	0.0105
GO:2000116	regulation of cysteine-type endopeptidase activity	9/234	0.0128
GO:1901030	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	5/36	0.0139
GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	5/45	0.014
GO:0045862	positive regulation of proteolysis	10/355	0.016
GO:0097193	intrinsic apoptotic signaling pathway	7/149	0.0171
GO:0001836	release of cytochrome c from mitochondria	4/22	0.0179
GO:2001236	regulation of extrinsic apoptotic signaling pathway	7/157	0.0185
GO:1901216	positive regulation of neuron death	6/96	0.0187
GO:2001234	negative regulation of apoptotic signaling pathway	8/230	0.0189
GO:2001233	regulation of apoptotic signaling pathway	10/410	0.0198
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	6/105	0.0226
GO:0071887	leukocyte apoptotic process	4/25	0.023
GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	3/7	0.0239
GO:0071550	death-inducing signaling complex assembly	3/8	0.026
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	5/64	0.0271
GO:0043068	positive regulation of programmed cell death	12/678	0.0278
GO:0052547	regulation of peptidase activity	10/446	0.0281
GO:0006915	apoptotic process	14/920	0.0283
GO:0043065	positive regulation of apoptotic process	12/670	0.0288
GO:0043029	T cell homeostasis	4/34	0.0307
GO:0032025	response to cobalt ion	3/10	0.0322
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	5/70	0.0325
GO:0046902	regulation of mitochondrial membrane permeability	5/77	0.0355
GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	3/11	0.0357
GO:0010942	positive regulation of cell death	12/729	0.037
GO:0097202	activation of cysteine-type endopeptidase activity	3/14	0.0386
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	4/38	0.0388
GO:0097345	mitochondrial outer membrane permeabilization	3/15	0.041
GO:0090559	regulation of membrane permeability	5/87	0.0411
GO:0012501	programmed cell death	14/1050	0.0413
GO:0052548	regulation of endopeptidase activity	9/420	0.0414
GO:2001267	regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	3/17	0.0421
GO:0002260	lymphocyte homeostasis	4/54	0.0436
GO:0008219	cell death	14/1085	0.0443
GO:0010822	positive regulation of mitochondrion organization	5/115	0.0445
GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	3/21	0.0454
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	4/59	0.0458
GO:0043525	positive regulation of neuron apoptotic process	4/60	0.0462
GO:1903749	positive regulation of establishment of protein localization to mitochondrion	4/58	0.0469
