Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	MCF7	bibu_1361_dihydrochloride	10.0	24	1/2	0.922	ATF4
2	PC3	ici-162,846	10.0	24	1/3	0.539	BAX
3	VCAP	gefitinib	10.0	24	1/3	0.539	CASP3
4	PC3	leflunomide	10.0	24	1/4	0.346	ATF4
5	VCAP	zd_7155_hydrochloride	10.0	6	1/5	0.230	BAX
6	PC3	meclocycline_sulfosalicylate	10.0	24	1/5	0.230	ATF4
7	MCF7	cv_1808	10.0	6	1/7	0.097	BAX
8	HEPG2	BRD-K23531129	10.0	6	2/29	0.088	ATF4, BAX
9	SKB	BRD-K56196992	10.0	24	2/31	0.069	ATF4, BID
10	VCAP	BRD-K58288048	10.0	24	4/128	0.060	BCL2, BCL2L1, BID, CASP3
11	MCF7	BRD-K72451865	10.0	24	3/72	0.060	BCL2, BCL2L1, BID
12	PC3	BRD-K83816656	10.0	24	2/33	0.051	BCL2L1, CASP3
13	MCF7	PF-562271	1.11	3	2/34	0.041	BAX, BCL2
14	MCF7	GW-5074	10	24	2/34	0.041	BAX, BCL2
15	MCF7	sorafenib	10	24	2/34	0.041	BCL2, MAP3K5
16	A375	BRD-U86222656	10.0	6	2/34	0.041	BID, CASP3
