Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	HS578T	geldanamycin	10	3	4/63	0.853	ATF4, DDIT3, EIF2AK3, HSPA5
2	RMUGS	(s)-(-)-bay_k_8644	10.0	6	3/36	0.827	ATF4, BCL2, BID
3	PC3	vidarabine	10.0	6	2/17	0.733	ATF4, BAX
4	BT20	geldanamycin	0.37	3	2/20	0.493	BCL2, HSPA5
5	BT20	geldanamycin	1.11	3	3/53	0.293	DDIT3, EIF2AK3, HSPA5
6	BT20	geldanamycin	10	3	3/54	0.267	ATF4, DDIT3, HSPA5
7	PC3	psoromic_acid	10.0	24	1/6	0.267	BCL2
8	MDAMB231	radicicol	10	3	3/54	0.267	ATF4, DDIT3, HSPA5
9	A549	BMS-777607	10	24	1/6	0.267	BAX
10	MCF10A	radicicol	10	3	4/97	0.253	ATF4, DDIT3, EIF2AK3, HSPA5
11	SKBR3	geldanamycin	10	3	3/56	0.227	DDIT3, EIF2AK3, HSPA5
12	VCAP	latanoprost	10.0	24	2/26	0.187	BAX, BID
13	LNCAP	geldanamycin	1.11	3	3/59	0.173	DDIT3, EIF2AK3, HSPA5
14	LNCAP	geldanamycin	3.33	3	3/59	0.173	DDIT3, EIF2AK3, HSPA5
15	MDAMB231	KIN001-043	10	24	4/107	0.160	ATF4, DDIT3, EIF2AK3, HSPA5
