Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	HS578T	geldanamycin	10	3	4/86	0.817	ATF4, DDIT3, EIF2AK3, HSPA5
2	MCF7	sorafenib	10	24	4/93	0.718	ATF4, BCL2, DDIT3, MAP3K5
3	VCAP	gefitinib	10.0	24	1/7	0.507	CASP3
4	PC3	leflunomide	10.0	24	1/7	0.507	ATF4
5	PC3	BRD-K83816656	10.0	24	3/66	0.465	BAX, BCL2L1, CASP3
6	BT20	geldanamycin	1.11	3	3/75	0.352	DDIT3, EIF2AK3, HSPA5
7	HS578T	geldanamycin	3.33	3	4/137	0.324	ATF4, DDIT3, HSPA5, MAP3K5
8	A375	pelitinib	0.12	24	4/137	0.324	ATF4, BCL2L1, DDIT3, MAP3K5
9	LNCAP	geldanamycin	3.33	3	3/79	0.310	DDIT3, EIF2AK3, HSPA5
10	BT20	geldanamycin	0.37	3	2/37	0.268	BCL2, HSPA5
11	LNCAP	geldanamycin	10	3	3/91	0.197	DDIT3, EIF2AK3, HSPA5
12	VCAP	latanoprost	10.0	24	2/43	0.169	BAX, BID
13	BT20	geldanamycin	10	3	3/98	0.155	ATF4, DDIT3, HSPA5
14	A375	QL-XII-47	1.11	24	4/175	0.155	ATF4, DDIT3, EIF2AK3, MAP3K5
15	BT20	radicicol	10	3	3/98	0.155	ATF4, DDIT3, HSPA5
16	RMUGS	(s)-(-)-bay_k_8644	10.0	6	3/102	0.127	ATF4, BCL2, BID
17	LNCAP	geldanamycin	1.11	3	3/102	0.127	DDIT3, EIF2AK3, HSPA5
18	PC3	vidarabine	10.0	6	2/46	0.113	ATF4, BAX
19	BT20	radicicol	3.33	3	2/47	0.113	DDIT3, HSPA5
20	VCAP	zd_7155_hydrochloride	10.0	6	1/12	0.099	BAX
21	MCF10A	radicicol	10	3	4/189	0.099	ATF4, DDIT3, EIF2AK3, HSPA5
22	HME1	geldanamycin	10	3	3/106	0.099	ATF4, BCL2, DDIT3
23	A549	methylstat	10	24	2/48	0.099	ATF4, DDIT3
24	HEPG2	s1095	10.0	6	3/108	0.099	ATF4, BAX, CASP3
25	A375	ABT-737	10	24	3/108	0.099	DDIT3, EIF2AK3, HSPA5
26	A549	BMS-777607	10	24	1/12	0.099	BAX
27	MDAMB231	radicicol	10	3	3/108	0.099	ATF4, DDIT3, HSPA5
28	PC3	ABT-737	10	24	4/189	0.099	ATF4, DDIT3, EIF2AK3, HSPA5
