Term id	Term Definition	Enrichment	Corrected pvalue
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	15/33	0.0008
GO:0034976	response to endoplasmic reticulum stress	27/243	0.0011
GO:0097193	intrinsic apoptotic signaling pathway	19/149	0.0019
GO:0034620	cellular response to unfolded protein	17/121	0.0024
GO:0043558	regulation of translational initiation in response to stress	8/10	0.0038
GO:0097190	apoptotic signaling pathway	22/282	0.0051
GO:0035967	cellular response to topologically incorrect protein	17/141	0.0055
GO:1905897	regulation of response to endoplasmic reticulum stress	14/83	0.0055
GO:0006986	response to unfolded protein	17/157	0.0069
GO:0006984	ER-nucleus signaling pathway	10/36	0.0076
GO:0035966	response to topologically incorrect protein	17/179	0.0077
GO:0043555	regulation of translation in response to stress	8/17	0.0081
GO:1900101	regulation of endoplasmic reticulum unfolded protein response	9/26	0.0094
GO:1900103	positive regulation of endoplasmic reticulum unfolded protein response	7/14	0.012
GO:1905898	positive regulation of response to endoplasmic reticulum stress	9/38	0.0121
GO:0030968	endoplasmic reticulum unfolded protein response	13/100	0.0123
GO:0036500	ATF6-mediated unfolded protein response	6/9	0.0131
GO:0006446	regulation of translational initiation	10/78	0.0137
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	12/125	0.0141
GO:0042594	response to starvation	14/187	0.0157
GO:2001056	positive regulation of cysteine-type endopeptidase activity	12/142	0.016
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	10/85	0.0164
GO:0009267	cellular response to starvation	12/148	0.0165
GO:0009266	response to temperature stimulus	13/175	0.0168
GO:0010952	positive regulation of peptidase activity	13/190	0.0197
GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	5/11	0.0197
GO:1990928	response to amino acid starvation	8/47	0.0198
GO:0070997	neuron death	8/52	0.0203
GO:0046902	regulation of mitochondrial membrane permeability	9/77	0.0216
GO:1901030	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	7/36	0.0219
GO:1902235	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	7/33	0.022
GO:0010950	positive regulation of endopeptidase activity	12/171	0.0232
GO:0001836	release of cytochrome c from mitochondria	6/22	0.0233
GO:0036499	PERK-mediated unfolded protein response	5/12	0.0238
GO:0043525	positive regulation of neuron apoptotic process	8/60	0.0252
GO:0080135	regulation of cellular response to stress	24/746	0.0252
GO:0033554	cellular response to stress	39/1695	0.0266
GO:0006915	apoptotic process	27/920	0.0268
GO:1903894	regulation of IRE1-mediated unfolded protein response	5/13	0.027
GO:0090559	regulation of membrane permeability	9/87	0.0271
GO:2001235	positive regulation of apoptotic signaling pathway	12/183	0.0293
GO:0010942	positive regulation of cell death	23/729	0.0297
GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	7/45	0.0299
GO:0008219	cell death	29/1085	0.0304
GO:0032055	negative regulation of translation in response to stress	4/6	0.0315
GO:0012501	programmed cell death	28/1050	0.0342
GO:0043065	positive regulation of apoptotic process	22/670	0.0343
GO:0043068	positive regulation of programmed cell death	22/678	0.0353
GO:1903896	positive regulation of IRE1-mediated unfolded protein response	4/8	0.0356
GO:0045947	negative regulation of translational initiation	5/19	0.0359
GO:1901214	regulation of neuron death	15/323	0.036
GO:0071496	cellular response to external stimulus	15/332	0.0362
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	12/210	0.0386
GO:0009411	response to UV	10/139	0.0398
GO:0046660	female sex differentiation	9/110	0.0399
GO:0043496	regulation of protein homodimerization activity	5/22	0.0408
GO:0008585	female gonad development	8/91	0.0408
GO:0031669	cellular response to nutrient levels	12/230	0.0415
GO:2000116	regulation of cysteine-type endopeptidase activity	12/234	0.0418
GO:2001242	regulation of intrinsic apoptotic signaling pathway	10/169	0.0434
GO:0032469	endoplasmic reticulum calcium ion homeostasis	5/23	0.0435
GO:0046545	development of primary female sexual characteristics	8/96	0.045
GO:0006983	ER overload response	4/12	0.0465
GO:0031668	cellular response to extracellular stimulus	12/261	0.0468
GO:1903573	negative regulation of response to endoplasmic reticulum stress	6/44	0.0479
GO:0009628	response to abiotic stimulus	28/1163	0.048
GO:0007006	mitochondrial membrane organization	9/135	0.0487
GO:0071287	cellular response to manganese ion	4/13	0.0492
GO:0032058	positive regulation of translational initiation in response to stress	3/4	0.0496
