Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	NPC	BRD-K52911425	10.0	24	2/8	0.908	IKBKB, IKBKE
2	VCAP	BRD-K58479490	10.0	6	1/2	0.908	ITCH
3	PC3	rimcazole_dihydrochloride	10.0	24	1/3	0.457	ITCH
4	VCAP	c3930	10.0	6	2/13	0.386	IKBKB, IKBKE
5	ASC	1391-0741	10.0	24	2/14	0.326	IKBKB, IKBKE
6	VCAP	ncgc00184891-01	10.0	24	2/14	0.326	IKBKB, ITCH
7	HT29	BRD-A62809825	10.0	6	1/4	0.228	ITCH
8	VCAP	p5172	10.0	6	1/4	0.228	IKBKB
9	PC3	nefazodone_hydrochloride	10.0	24	1/4	0.228	ITCH
10	HT29	nutlin-3	44.4	6	1/4	0.228	ITCH
11	PC3	mestinon	10.0	24	1/4	0.228	TICAM1
12	A375	BRD-K88008216	10.0	6	2/18	0.152	IKBKB, IKBKE
13	VCAP	geldanamycin	10.0	6	2/18	0.152	IKBKB, IKBKE
