Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	VCAP	mls-0391006	10.0	6	1/2	1.000	IKBKB
2	PC3	a3145	10.0	24	1/3	0.577	ITCH
3	HA1E	16beta-bromoandrosterone	11.1	24	2/19	0.260	IKBKB, IKBKE
4	HT29	bumetanide	10.0	6	1/5	0.235	ITCH
5	HA1E	saracatinib	1.11	24	4/83	0.214	DDX58, IFIH1, IKBKB, IRF7
6	PC3	BRD-A98444709	10.0	6	1/6	0.148	ITCH
7	PC3	BRD-K82580504	10.0	24	1/6	0.148	ITCH
8	SKB	BRD-K33164466	10.0	24	2/24	0.148	IKBKB, IKBKE
9	PC3	BRD-K00313977	10.0	6	1/6	0.148	ITCH
10	HT29	BRD-K00007652	10.0	6	3/59	0.112	IKBKB, IKBKE, ITCH
11	HA1E	mebendazole	10.0	6	3/63	0.087	IKBKB, IKBKE, ITCH
