Rank	Cell line	Perturbagen	Dose(um)	Duration(h)	Enrichment	Score	Perturbed Genes
1	PC3	a3145	10.0	24	1/6	0.865	ITCH
2	PC3	mestinon	10.0	24	1/6	0.865	TICAM1
3	VCAP	ncgc00184891-01	10.0	24	2/26	0.750	IKBKB, ITCH
4	VCAP	rythmol	10.0	24	1/7	0.635	ITCH
5	VCAP	ncgc00183913-01	10.0	24	2/30	0.558	IKBKB, ITCH
6	HT29	BRD-K66381707	10.0	6	2/30	0.558	ITCH, TICAM1
7	VCAP	c3930	10.0	6	2/31	0.519	IKBKB, IKBKE
8	SKB	BRD-K33164466	10.0	24	3/72	0.481	IKBKB, IKBKE, ITCH
9	ASC	1391-0741	10.0	24	2/36	0.346	IKBKB, IKBKE
10	VCAP	ergonovine	10.0	6	1/9	0.346	ITCH
11	HA1E	saracatinib	1.11	24	4/143	0.346	DDX58, IFIH1, IKBKB, IRF7
12	SW948	akt_inhibitor_x	24.0	6	4/147	0.308	IKBKE, ITCH, MAP2K6, TICAM1
13	HCC515	BRD-K00007652	10.0	6	3/83	0.308	IKBKB, IKBKE, ITCH
14	VCAP	BRD-K47764688	10.0	24	3/84	0.308	IKBKB, IKBKE, ITCH
15	NPC	BRD-K52911425	10.0	24	2/38	0.288	IKBKB, IKBKE
16	ASC	BRD-K35483542	10.0	24	3/87	0.269	IKBKB, IKBKE, ITCH
17	HT29	bumetanide	10.0	6	1/10	0.231	ITCH
18	PHH	s1118	10.0	24	2/40	0.231	IKBKB, IKBKE
19	PC3	BRD-K82580504	10.0	24	1/10	0.231	ITCH
20	VCAP	BRD-K65404805	10.0	24	2/41	0.212	IKBKE, ITCH
21	VCAP	geldanamycin	10.0	6	3/91	0.212	IKBKB, IKBKE, ITCH
22	PC3	sib_1893	10.0	24	2/42	0.192	CHUK, ITCH
23	HT29	BRD-K00007652	10.0	6	3/93	0.192	IKBKB, IKBKE, ITCH
24	HEPG2	mafenide_hydrochloride	10.0	6	3/93	0.192	IKBKE, ITCH, MAP3K7
25	HA1E	bg_fa_0953	10.0	6	3/95	0.173	IKBKB, IKBKE, ITCH
