Term id	Term Definition	Enrichment	Corrected pvalue
GO:0002221	pattern recognition receptor signaling pathway	27/126	0.0007
GO:0002218	activation of innate immune response	28/248	0.0022
GO:0002224	toll-like receptor signaling pathway	22/97	0.0026
GO:0035666	TRIF-dependent toll-like receptor signaling pathway	14/29	0.0042
GO:0002756	MyD88-independent toll-like receptor signaling pathway	14/31	0.0045
GO:0002758	innate immune response-activating signal transduction	27/227	0.0046
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	23/183	0.0058
GO:0002833	positive regulation of response to biotic stimulus	28/351	0.0076
GO:0045089	positive regulation of innate immune response	28/332	0.0083
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	24/236	0.0083
GO:0007249	I-kappaB kinase/NF-kappaB signaling	16/69	0.0109
GO:0002764	immune response-regulating signaling pathway	33/570	0.0111
GO:0045088	regulation of innate immune response	29/443	0.0125
GO:0032479	regulation of type I interferon production	18/127	0.0132
GO:0043902	positive regulation of multi-organism process	29/494	0.0133
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	13/35	0.014
GO:0031349	positive regulation of defense response	29/473	0.0148
GO:0002831	regulation of response to biotic stimulus	29/509	0.0148
GO:0051090	regulation of DNA-binding transcription factor activity	27/433	0.0171
GO:0051403	stress-activated MAPK cascade	16/106	0.0171
GO:0032727	positive regulation of interferon-alpha production	10/23	0.0186
GO:0032728	positive regulation of interferon-beta production	11/32	0.0189
GO:0032103	positive regulation of response to external stimulus	30/602	0.019
GO:0032648	regulation of interferon-beta production	12/50	0.0215
GO:0032481	positive regulation of type I interferon production	14/79	0.0221
GO:0031098	stress-activated protein kinase signaling cascade	17/141	0.0224
GO:0043900	regulation of multi-organism process	32/768	0.0232
GO:0051092	positive regulation of NF-kappaB transcription factor activity	17/152	0.0246
GO:0002757	immune response-activating signal transduction	27/534	0.0247
GO:0032647	regulation of interferon-alpha production	10/29	0.026
GO:0050776	regulation of immune response	37/1113	0.027
GO:0002253	activation of immune response	28/603	0.0287
GO:0035872	"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway"	9/28	0.0297
GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	9/27	0.0298
GO:0009615	response to virus	20/285	0.0303
GO:0051091	positive regulation of DNA-binding transcription factor activity	19/263	0.0304
GO:0031347	regulation of defense response	31/788	0.0315
GO:0032480	negative regulation of type I interferon production	9/45	0.0332
GO:0007254	JNK cascade	12/83	0.0333
GO:0001819	positive regulation of cytokine production	21/446	0.0339
GO:0050778	positive regulation of immune response	30/826	0.0341
GO:1902533	positive regulation of intracellular signal transduction	31/1031	0.035
GO:0060759	regulation of response to cytokine stimulus	15/178	0.0354
GO:0001817	regulation of cytokine production	26/710	0.0385
GO:0002684	positive regulation of immune system process	32/1118	0.0423
GO:0060760	positive regulation of response to cytokine stimulus	9/55	0.0429
GO:0002682	regulation of immune system process	38/1659	0.0434
GO:0000165	MAPK cascade	17/366	0.0443
GO:0051607	defense response to virus	14/196	0.0451
GO:0034162	toll-like receptor 9 signaling pathway	6/17	0.0452
GO:0032101	regulation of response to external stimulus	31/1102	0.0459
GO:0007252	I-kappaB phosphorylation	6/12	0.0462
GO:0001959	regulation of cytokine-mediated signaling pathway	13/167	0.0474
GO:0032757	positive regulation of interleukin-8 production	8/48	0.0482
GO:0045357	regulation of interferon-beta biosynthetic process	5/9	0.0487
GO:0030522	intracellular receptor signaling pathway	13/164	0.0488
