Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
FAS	FAS;ALPS1A;APO-1;APT1;CD95;FAS1;FASTM;TNFRSF6	355	GeneID:355;HGNC:HGNC:11920;HPRD:00609;MIM:134637;ensembl_gene_id:ENSG00000026103	Homo sapiens	SUMO1;FASLG;FAS;PDCD6;FADD;HIPK3;FAIM2;FYN;CASP8AP2;TNFSF13;LCK;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;KRIT1;FAF1;UBE2I;DAXX;DAXX;DAXX;DAXX;DAXX;BMX;RARA;PML;Ube2i;SQSTM1;TP63;CAV1;APOA5;CCND3;ATP6V0B;BAG6;BAG6;BAG6;BAG6;BAG6;BAG6;BAG6;PRKAG1;RAP1A;BID;MAP3K5;CASP8AP2;SQSTM1;PIK3R1;CASP8;BABAM2;GADD45A;LRIF1;CHD1L;METTL13;SFXN5;CFLAR;CASP10;GPD1L;CTNNB1;RHOA;ACAD9;MBD4;CRMP1;UGDH;SPATA5;UFSP2;RHOBTB3;FAF2;RUFY1;RIPK1;TUBB2A;TUBB2B;CDYL;EEF1A1;MDN1;EZR;ABHD11;PEX1;ARF5;TNFRSF10B;FAM91A1;UBQLN1;MAPK8;WDR11;EHD1;FAM118B;TNFRSF1A;ALDH1L2;GPN3;RB1;HNRNPC;TMX1;COX16;ERG28;TRAF3;NDUFAF1;SPATA5L1;PDXDC1;TRADD;NOL3;CTU2;TUBB3;DPH1;C17orf75;TCAP;INTS2;PRKCA;FBF1;ARHGDIA;YES1;TUBB4A;PRAM1;ECSIT;MAP1S;ALDH16A1;SRC;MOCS3;DNAJC5;WRB;Traf1;MSN;PDXDC1;RUFY1;MDN1;TIMM29	Physical Interaction	
FADD	FADD;GIG3;MORT1	8772	GeneID:8772;HGNC:HGNC:3573;HPRD:03909;MIM:602457;ensembl_gene_id:ENSG00000168040	Homo sapiens	ABCA1;RHOA;ARHGDIA;BID;EZR;FAS;MAPK8;MSN;CASP10;CASP8;FASLG;MBD4;NACA;MOB4;CFLAR;RIPK1;RYBP;RYBP;DAP3;TNFRSF10B;TNFRSF10A;PEA15;HIPK3;PIDD1;CASP8AP2;TRADD;TNFRSF1A;RALGDS;MAVS;KHDRBS1;TAB1;TNFSF10;FAF1;EDAR;BMX;LRRK2;IKBKG;PARK7;Fas;TRAF2;CUL3;MKRN1;RIPK3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;ATG5;Naca;NAXE;EHD1;RAP1A;CASP8AP2;RIPK3;TLR3;FADD;PIN1;STUB1;TANK;TRPC6;SQSTM1;SQSTM1;PRKCZ;AKR7A2;KIF2C;DEDD;NLRC4;RHOQ;IL37;MYD88;ROBO2;CCDC50;NDNF;SLC7A11;TPPP;ATG12;CSNK1A1;TNIP1;DAXX;TNFAIP3;NUPL2;DAPK1;EPB41L4B;GOLGA7B;CHUK;IRF7;TRIM21;THAP12;RNF41;IGHA1;CKMT1A;ULK3;NOL3;DNAAF1;SPOP;SDK2;ACTG1;CSNK1D;S1PR2;CLIP3;NEFH;PRDX4;IRF7;IGHA1;DAXX;DAXX;DAXX;DAXX	Physical Interaction;Genetic Interaction	
CASP8	CASP8;ALPS2B;CAP4;Casp-8;FLICE;MACH;MCH5	841	GeneID:841;HGNC:HGNC:1509;HPRD:03459;MIM:601763;ensembl_gene_id:ENSG00000064012	Homo sapiens	BID;EZR;FAS;MAPK8;MSN;CASP10;RHOA;ARHGDIA;FASLG;CASP8;TFCP2;CFLAR;FADD;BCAP31;TNFRSF10A;TNFRSF10B;APAF1;NOD1;PEA15;BCL2;HIP1;IFT57;CASP6;CHUK;IKBKB;DEDD2;DEDD;CASP8AP2;CASP14;AIF1;MCA1;RALGDS;PTEN;PTEN;RIPK1;KHDRBS1;MAP1LC3B;MAP1LC3A;TNFSF10;CEBPB;TRAF6;BFAR;BFAR;TP53;LRRK2;FIS1;CUL3;TRAF2;GZMB;SQSTM1;HECTD3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;PRDX6;BAX;ERLIN2;RNF34;XIAP;BIRC2;BIRC3;BLM;GMNN;MLKL;Ppp2r1a;Vangl1;CASP8AP2;SQSTM1;TLR3;OPTN;RYBP;RYBP;SERPINB9;MAPK14;FAF1;TNFAIP3;SRC;MYC;BECN1;TRADD;RIPK3;RIPK3;DYNC1LI1;DYNC1LI2;PARK7;ERRFI1;MTOR;CASP9;YBX1;VPS45;S100A14;IL24;PARP1;PDIA6;GREB1;NLRC4;BIRC6;VHL;PRSS50;BAP1;UMPS;CNBP;PRKCI;SOX2;QDPR;CASP3;PPP2CA;CARD11;AGR3;COPS6;HBP1;CASP2;NSD3;PRDM14;ATAD2;TOPORS;TRAF1;CDK9;VIM;SORBS1;CASP7;SCGB2A2;CASP4;CASP1;CRYAB;USP2;BLID;CHEK1;ST14;TNFRSF1A;CDKN1B;HDAC7;NR1H4;UBC;EPSTI1;RB1;PLA2G4B;BCL2L10;GLCE;NOL3;CDH13;CHD3;CASC3;PSMC3IP;MAP3K14;MAPT;RALBP1;PIK3C3;SERPINB5;PLIN4;TICAM1;ANGPTL4;ATG4D;CLIP3;ATP1A3;LYPD3;KLK5;KLK9;BCL2L1;MAPK1;SNRPD3;BEX1;TSC22D3;IL13RA2;MAPT;MAPT;Sqstm1;HBP1;ced-4	Physical Interaction;Genetic Interaction	
CASP3	CASP3;CPP32;CPP32B;SCA-1	836	GeneID:836;HGNC:HGNC:1504;HPRD:02799;MIM:600636;ensembl_gene_id:ENSG00000164305	Homo sapiens	CFLAR;DCC;XIAP;BIRC7;SREBF2;BIRC5;HSPD1;CASP3;CASP8;BIRC3;BIRC2;CASP10;HSPB1;ELAVL1;BIRC6;CDK2;CASP9;ZBTB16;CRYAB;GZMB;TNFSF10;Gzmb;BAX;BAG3;IDH3B;PTTG1;CASP6;CDC42;MAP3K14;RAD51;STK3;LSM14B;SLC35A1;KCNA10;MAPK14;TP53;TRAF2;DFFA;MCL1;ARNT;RNF2;PARP1;AKT3;SOCS5;STAT1;HSPE1;NDUFS1;MLH1;GORASP1;CTNNB1;HCLS1;PAK2;USO1;GLRX;FBXW11;MAPK9;GMNN;MDC1;CDKN1A;HEY2;ARMT1;DBNL;YWHAG;COPS6;MET;CASP2;PRKDC;ERP44;TRAF1;GSN;SPTAN1;VIM;MAPK8;PARG;BTRC;CASP7;CTTN;SP1;PTGES3;MDM2;RB1;TRAF3;PLA2G4B;BLM;LCMT1;THAP11;CDH1;BECN1;MAPT;ARHGDIA;ROCK1;BCL2;SERPINB8;EEF2;ATG4D;PKN1;STK4;APP;BID;RBX1;BMX;GATA1;GRIPAP1;AKT3;MDC1;MAPT;MDC1;MAPT;MDC1;MDC1;MDC1;MDC1;MDC1;NDUFS1	Physical Interaction;Genetic Interaction	(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate;(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate;methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate;5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid;1-METHYL-5-(2-PHENOXYMETHYL-PYRROLIDINE-1-SULFONYL)-1H-INDOLE-2,3-DIONE;4-[5-(2-CARBOXY-1-FORMYL-ETHYLCARBAMOYL)-PYRIDIN-3-YL]-BENZOIC ACID;[N-(3-DIBENZYLCARBAMOYL-OXIRANECARBONYL)-HYDRAZINO]-ACETIC ACID;Minocycline;N-[3-(2-fluoroethoxy)phenyl]-N'-(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-6-yl)butanediamide;2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID
CASP9	CASP9;APAF-3;APAF3;ICE-LAP6;MCH6;PPP1R56	842	GeneID:842;HGNC:HGNC:1511;HPRD:03756;MIM:602234;ensembl_gene_id:ENSG00000132906	Homo sapiens	XIAP;APAF1;MAPK1;BIRC2;BIRC3;BCL2L1;NOD1;NLRP1;CASP8;CASP2;CASP10;BIRC5;BIRC6;BIRC7;CASP3;VCP;BRCA1;CASP7;SQSTM1;PTCH1;ABL1;BAX;RNF34;CYCS;SQSTM1;BIRC8;HECTD3;CASP9;BICD2;JUN;ARNT;MSTO1;RNF2;NAIP;HSD17B4;HIP1;CRYAB;RB1;DCC;NAIP;NAIP	Physical Interaction;Genetic Interaction	
BID	BID;FP497	637	GeneID:637;HGNC:HGNC:1050;MIM:601997;ensembl_gene_id:ENSG00000015475	Homo sapiens	BCL2;BCL2L1;BCL2L2;MCL1;EZR;FAS;MSN;RHOA;ARHGDIA;BID;CAPN2;CASP2;CASP3;CASP8;ITCH;SQSTM1;VCP;CAV1;BAG3;GZMB;MOV10;NXF1;BCL2A1;FCGR2A;FADD;CDC5L;SQSTM1;ARL6IP6;MBD5;HSD17B10;TRIM25;GATD3A;DDAH2;DDAH2;DDAH2;DDAH2;DDAH2;DDAH2;DDAH2;HINT1;MPST;TBCA;CBX5;GIPC1;TPT1;RPA2;GBP2;AHCYL1;SETDB1;FASLG;C1orf198;REL;RAB11FIP5;CASP10;SUMO1;CRMP1;TUBB2B;BAK1;FOXK1;RBM48;TNFRSF10B;ZHX1;TLE1;MAPK8;TNFRSF1A;GAPDH;ERG28;NUP93;RPA1;PLEKHM1;FBN3;BAX;CRNKL1;CSNK1E;UBQLN2;PLEKHM1;PLEKHM1	Physical Interaction	
APAF1	APAF1;APAF-1;CED4	317	GeneID:317;HGNC:HGNC:576;HPRD:03755;MIM:602233;ensembl_gene_id:ENSG00000120868	Homo sapiens	APIP;CASP9;HSPA4;BCL2L1;CYCS;AVEN;TRIAP1;ELAVL1;PPP1CA;XIAP;HSP90AA1;TOP1;SHMT2;ENDOV;HSP90B1;DEF8;OMD;WDFY3;LINC01587;IQCN;LGALS7;AARSD1;LYPD4;CRYBA4;HIP1;APEX1;CASP8;CASP4;NLRP1	Physical Interaction	Adenosine triphosphate
BAX	BAX;BCL2L4	581	GeneID:581;HGNC:HGNC:959;HPRD:02498;MIM:600040;ensembl_gene_id:ENSG00000087088	Homo sapiens	PMAIP1;BCL2;BCL2L1;BNIPL;SNCA;BCL2L10;YWHAQ;HSPD1;BAX;SH3GLB1;SLC25A4;MOAP1;MOAP1;BAK1;BCL2L2;MEPCE;TOMM40;TOMM22;UHRF2;PARK7;BAD;MCL1;CLU;XRCC6;KCNA3;CRYAA;CRYAB;VCP;BAG3;MDM2;ZBTB24;GIMAP5;LRRK2;BCL2L12;BCL2L11;PKM;BID;TP53;COQ9;C15orf48;OCIAD1;PPM1J;BCL2L15;HSD17B10;ND5;TRIM25;TRIM14;FGFR1;RNF4;ESR2;VIRMA;ANAPC4;FCGRT;CDC10;OYE2;CASP9;PRDX1;GUK1;PCBP1;CASP8;XRCC5;CASP3;BDP1;HSPA4;VDAC1;RNF144B;PRKN;CYCS;SEPT7;GSTK1;ERCC6;CASP7;EDRF1;PSMC3;SERPINH1;PRSS23;GEMIN2;NIN;YY1;BCL2A1;ATAD5;LIG3;PSMC5;C18orf21;SERPINB12;PNPLA6;PRDX2;NSFL1C;YWHAB;TXN2;HDAC6;LONRF3;XIAP;BDP1;BDP1;Bak1	Physical Interaction	
BAD	BAD;BBC2;BCL2L8	572	GeneID:572;HGNC:HGNC:936;HPRD:04409;MIM:603167;ensembl_gene_id:ENSG00000002330	Homo sapiens	BCL2A1;MCL1;BCL2L2;PRKCI;BCL2L1;PIM2;SNCA;AKT1;PRKACA;RPS6KA1;RPS6KA1;RPS6KA5;YWHAZ;YWHAE;YWHAE;YWHAG;YWHAB;SFN;YWHAH;YWHAQ;BCL2;VCP;RAF1;PAK1;BRAF;ARAF;BMH1;GIMAP5;PRKD1;PRKCE;NDUFA12;LIMK1;SORT1;SYNCRIP;Brca1;APTX;CBY1;HNRNPL;PIM1;BECN1;S100A10;STEAP3;CDKN1A;PPP1CA;ULK1;SUMO2;CREB3L3;KEAP1;PRDX2;BAX;EWSR1	Physical Interaction	
BCL2	BCL2;Bcl-2;PPP1R50	596	GeneID:596;HGNC:HGNC:990;MIM:151430;ensembl_gene_id:ENSG00000171791	Homo sapiens	BNIPL;BNIP2;SMN1;SMN1;SMN1;TP53BP2;RTN4;Bcl2l11;BCL2L11;BBC3;BAD;CASP3;BCL2L1;BID;SOD1;EPHB2;PTPA;NR4A1;BIK;SPNS1;CAPN2;BAX;TP53AIP1;BCL2L10;RAF1;TOMM20;HRK;BLK;RAD9A;BCAP31;IRS1;PSEN1;ITM2B;BMF;HSPA1A;HSPA1A;HSPA1A;HSPA1A;HSPA1A;TMBIM6;MOAP1;MOAP1;PPP2CA;AVEN;CASP2;CASP8;PMAIP1;BNIP1;PARP1;BAG1;BLID;PRKN;TP53;HSP90AA1;CISD2;PPP1CA;PPP1CB;PPP1CC;ATG12;BFAR;BFAR;BRCA1;AMBRA1;PML;CRYAB;HIF1A;FKBP8;MAPK8;IKBKG;MDM4;BAG3;CDK1;BECN1;KEAP1;BNIP3;KRAS;BCL2;ATP2A3;SQSTM1;ITPR1;Bax;GIMAP5;NMT2;MAPK1;PPARA;BARD1;SQSTM1;BAK1;BLK;SEPT4;XIAP;TNIP2;BCL2L12;RNF183;VIRMA;PSEN2;ITLN1;PPP2R5A;MAT2A;HNRNPD;PPP3CA;PPID;VDAC1;PPP3CC;BNIP3L;IKBKB;MYC;CHUK;RTN3;CDK4;DYNLL1;IRS2;UBE2I;SERPINB8;MEX3D;PIN1;RRAS;Becn1	Physical Interaction;Genetic Interaction	Docetaxel;Ibuprofen;Rasagiline;Paclitaxel;E7389
