Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
ORF6	ORF6;GU280_gp06	43560234	GeneID:43560234	Wuhan seafood market pneumonia virus			
IFNA1	IFNA1;IFL;IFN;IFN-ALPHA;IFN-alphaD;IFNA13;IFNA@	3439	GeneID:3439;HGNC:HGNC:5417;HPRD:00974;MIM:147660;ensembl_gene_id:ENSG00000197919	Homo sapiens	ISG15;CR2;IFNA21;IFNA17;IFNA14;IFNA6;IFNA13;HCCS		
IFNB1	IFNB1;IFB;IFF;IFN-beta;IFNB	3456	GeneID:3456;HGNC:HGNC:5434;HPRD:00972;MIM:147640;ensembl_gene_id:ENSG00000171855	Homo sapiens	IFNB1;IFNAR1	Physical Interaction	Beta-D-Glucose
OAS1	OAS1;E18/E16;IFI-4;OIAS;OIASI	4938	GeneID:4938;HGNC:HGNC:8086;MIM:164350;ensembl_gene_id:ENSG00000089127	Homo sapiens	ACTN1;HIRA;KRAS;PRMT6;TRIM27;BUD23;RPL30;EXOC5;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27	Physical Interaction	Cysteine-S-Acetamide
OAS2	OAS2	4939	GeneID:4939;HGNC:HGNC:8087;MIM:603350;ensembl_gene_id:ENSG00000111335	Homo sapiens	CLK3;GIMAP8;CGAS;SASH1;PRKG1;ACACA;APP;ACACA	Physical Interaction	
OAS3	OAS3;p100;p100OAS	4940	GeneID:4940;HGNC:HGNC:8088;MIM:603351;ensembl_gene_id:ENSG00000111331	Homo sapiens	MAVS;CHMP1A;NTRK1;CCDC22;Eea1;ESR2;MYC;VIRMA;ETAA1;EXOSC10;GNL2;PABPC4;PPM1G;GPD2;DHX30;IFRD2;GNL3;MCM2;RFC4;LYAR;G3BP2;SDAD1;ZNF622;MTREX;NOP16;HIST1H1C;HIST1H1B;CDC5L;TLN1;EXOSC3;GTPBP4;CAPRIN1;PRPF19;C11orf98;LLPH;NOP10;RPLP1;CNP;FTSJ3;PTBP1;NOP53;EIF6;TOP1;GNL3L;RPL39	Physical Interaction;Genetic Interaction	
CHUK	CHUK;IKBKA;IKK-alpha;IKK1;IKKA;NFKBIKA;TCF16	1147	GeneID:1147;HGNC:HGNC:1974;MIM:600664;ensembl_gene_id:ENSG00000213341	Homo sapiens	FANCA;TRPC4AP;PPM1B;MAP3K14;IKBKG;MAP3K8;MAP3K7;NFKB1;IKBKB;AKT2;PRKDC;CHUK;TRAF2;TANK;CTNNB1;IRAK1;AKT1;MAP3K11;NCOA3;NFKBIA;TNFAIP3;UBE2I;TRAF3IP2;UBE2N;Pebp1;TP73;NFKB2;EP300;PRKCQ;CUEDC2;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;PRKCA;PRKCI;PRKCD;DUSP1;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;ARRB2;CHEK1;HSP90AA1;ERC1;ERC1;TP63;PIAS1;CSNK2A1;CLU;MAP3K1;TNIP2;EIF2AK2;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;PPP2CA;FOXO3;STAP2;TNFRSF1A;TNFRSF1B;TRAF1;BTRC;CREBBP;BCL2;MAGED1;BCL10;SRC;SMAD3;SMAD2;DHX40;DHX29;CARD11;MYC;ELAVL1;HSPB1;PYCARD;NLRC5;AURKA;TPX2;PPP1CA;ATG16L2;EGLN3;SRPK2;SRPK1;MYH14;STUB1;HNRNPA1;PSMD9;CDC37;FKBP5;MTOR;RPTOR;RELA;TP53;RICTOR;SHARPIN;CD40;NTRK1;XPO1;MAP3K3;PRKCB;COMMD7;GLI1;USP18;Nt5c3;SMN1;SMN1;SMN1;TRIM22;PSG1;FAM196A;SHC4;UBC;ELP1;ATR;IFIT5;CFTR;LRRC14;RNF8;SPATA2;RIPK1;PTEN;PTEN;BBC3;KEAP1;FADD;KLHL21;HIST2H3C;CDC73;IKBKE;PAX8;CASP8;IRS1;PPP4R2;HTT;ERBIN;SASH1;TAB2;ESR1;MAP3K4;IRF5;CUL1;COPS5;RIPK2;TRAF6;AMBRA1;DCUN1D5;NCOR2;PPP4C;TRADD;E2F4;NCOR1;COPS3;TRAF4;RPL27;MYL12A;PPP4R1;NFKBIB;PAF1;BCL3;NLRP2;NLRP4;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2	Physical Interaction;Genetic Interaction;Chemical Interaction	Acetylcysteine;Aminosalicylic Acid;Mesalazine;Sulfasalazine
FOS	FOS;AP-1;C-FOS;p55	2353	GeneID:2353;HGNC:HGNC:3796;HPRD:01275;MIM:164810;ensembl_gene_id:ENSG00000170345	Homo sapiens	RELA;NELFB;NCOA6;NCOA1;BCL3;RPS6KA4;CREBBP;JUN;SPI1;DDIT3;SMAD3;TSC22D3;ETS2;NACA;MITF;VDR;TBP;TAF1;RUNX2;RUNX1;PML;NCOR2;XBP1;HNF1A;ATF2;RPS6KA2;MAZ;UBR1;MAPK7;POLR2E;EP300;UBE2I;UBE2D1;UBE2L3;SIRT1;MAFB;MAF;MAFF;ATF3;ATF4;FOS;JUNB;CEBPE;CEBPA;CEBPG;ABL1;Psma4;AQP1;EGFR;STAT1;DNMT3L;KDM2B;NFATC2;NFATC1;NFAT5;TRX3;HIRA;UBN1;ASF1A;FHL3;HIF1A;PIN1;MAPK3;CCND1;Lmo7;HIST1H4A;SSU72;STK40;PRKAA2;FNBP1L;TSPAN2;ANP32E;USF1;CENPO;HOXD13;MTERF4;GLB1;SMARCC1;ATP5ME;ANKRD17;COPS4;TRAPPC13;MAP1B;NR2F1;HSD17B4;ANKHD1;SRA1;MAPK9;VARS;HSPA1A;GLO1;VEGFA;ESR1;CREB5;GNG11;NEFM;CLU;GTF2E2;NCOA2;TRIB1;EEF1D;GRHPR;SET;KDM2A;MED17;LMO3;ATF7;SMARCC2;YEATS4;PPP1R12A;CABP1;ARL6IP4;KBTBD7;GTF2F2;RB1;LMO7;TCL1A;DET1;NFATC2IP;CSNK2A2;UTP4;NQO1;SMARCE1;PSMC5;FAAP100;GAMT;GTF2F1;KHSRP;CARM1;NFIX;NR2F6;JUND;USF2;FOSB;IL11;CSNK2A1;ZNF133;AHCY;NCOA3;ARFGAP1;APP;MAPK1;CHEK2;CYTH4;DDX17;LUZP4;MTMR1;VARS;HSPA1A;EEF1D;UTP4;VARS;HSPA1A;VARS;HSPA1A;VARS;VARS;HSPA1A;VARS;COP1	Physical Interaction;Genetic Interaction	Pseudoephedrine;Nadroparin
IFNAR1	IFNAR1;AVP;IFN-alpha-REC;IFNAR;IFNBR;IFRC	3454	GeneID:3454;HGNC:HGNC:5432;MIM:107450;ensembl_gene_id:ENSG00000142166	Homo sapiens	FBXW11;PRKD2;RACK1;Ank2;IFNB1;BTRC;TNFRSF10A;TRIM25;USP7;ABRAXAS2;SHMT2;BRCC3;SOCS1;HNRNPU;HSPD1;AP2M1;PIK3R1;HNRNPK;STAT2;STAT6;PKM;YWHAE;SHMT1;STAT3;TYK2;PRMT1;YWHAB;IFNAR2;UBA1;YWHAE;SHMT1	Physical Interaction;Chemical Interaction	Interferon alfa-n1;Interferon beta-1a;Peginterferon alfa-2b;Interferon alfa-n3;Interferon Alfa-2a, Recombinant;Interferon beta-1b;Interferon alfacon-1;Peginterferon alfa-2a;Interferon Alfa-2b, Recombinant
IFNAR2	IFNAR2;IFN-alpha-REC;IFN-R;IFNABR;IFNARB;IMD45	3455	GeneID:3455;HGNC:HGNC:5433;HPRD:03850;MIM:602376;ensembl_gene_id:ENSG00000159110	Homo sapiens	IFNAR2;USP18;JAK1;IFNAR1;STAT2;APEX1;STAT1;RACK1;PPP1R3B;IFNA2;IRF9;CREBBP;GRAP2;PPP1R3B;IRF9	Physical Interaction	Interferon alfa-n1;Interferon beta-1a;Peginterferon alfa-2b;Interferon alfa-n3;Interferon Alfa-2a, Recombinant;Interferon beta-1b;Interferon alfacon-1;Peginterferon alfa-2a;Interferon Alfa-2b, Recombinant
