Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
ATF4	ATF4;CREB-2;CREB2;TAXREB67;TXREB	468	GeneID:468;HGNC:HGNC:786;MIM:604064;ensembl_gene_id:ENSG00000128272	Homo sapiens	TRIB3;CCDC106;DISC1;GABBR1;GABBR1;GABBR1;GABBR1;GABBR1;GABBR1;GABBR1;GABBR2;EP300;BTRC;JUN;RELA;FBXW11;EGLN3;NFKBIA;HAUS7;NFE2L2;NFE2;MAFB;MAF;BATF3;BATF2;BATF;ATF3;ATF4;FOSL1;FOS;ATF2;CREBZF;CREB3;CEBPE;CEBPA;CEBPG;DDIT3;APH1A;ASB7;NEK6;CREBBP;SHMT2;MOV10;NXF1;DNMT3L;NLGN3;BFSP2;MDM2;RPT5;EGLN2;RNF4;GTF2B;GTF2A1L;PTCD3;KAT2B;EIF2A;LMNB1;SRA1;HK3;REPS1;TBP;GCC1;TRIM24;ZNF212;RPS6;GOLGA1;MPZL2;CKAP4;GTF2F2;POLR2C;GPS2;NDC80;TTR;MAP2K7;JUNB;ZNF226;TGM2;APP;Cebpb;SNAP29;TBC1D25;LDOC1;TREX2;GOLGA8F;GOLGA8F;GOLGA8F;GOLGA8F	Physical Interaction	Pseudoephedrine
ATF6	ATF6;ACHM7;ATF6A	22926	GeneID:22926;HGNC:HGNC:791;HPRD:16118;MIM:605537;ensembl_gene_id:ENSG00000118217	Homo sapiens	GTF2I;YY1;ATF6;NFYA;NFYC;SRF;CREB1;SREBF2;WFS1;SYVN1;UBC;XBP1;FBXO6;MAPK14;HLA-E;HLA-E;HLA-E;HLA-E;HLA-E;HLA-E;HLA-E;ERLEC1;PCDH20;CDH5;PCDHAC1;PCDHB11;GABRD;CLEC3A;CLEC2D;CD300E;OS9;MGAT4C;PCDHB16;LRRN2;MGAT4C;TRIM25;HNRNPL;RNF4;DAPK1;PTRH2;CSK;LDHA;SPARC;STK40;APOD;SH3TC1;ATF6B;HIBADH;DDC;BPGM;EPHX2;PARG;NNMT;TNFRSF1A;SP1;ACLY;ACAA2;APP;ATF6B;ATF6B;ATF6B;COP1	Physical Interaction;Genetic Interaction	Pseudoephedrine
ATG5	ATG5;APG5;APG5-LIKE;APG5L;ASP;hAPG5;SCAR25	9474	GeneID:9474;HGNC:HGNC:589;MIM:604261;ensembl_gene_id:ENSG00000057663;ensembl_gene_id:ENSG00000283623	Homo sapiens	ATG12;ATG16L1;ATG16L1;ATG3;MAP1LC3B;MAP1LC3C;TECPR1;ELAVL1;TAB2;TAB3;HTT;CAV1;EXOC4;RB1CC1;FADD;WIPI2;MEOX2;VCP;CAPN1;CAPN2;BCL2L1;XPO1;BCL10;BSN;IKBIP;OPTN;PSMD10;MYC;DAPK2;RACK1;RAB33B;TEKT4;IMPDH2;TKT;WDFY3;SQSTM1;CCHCR1;SIRT1;CALCOCO2;KEAP1;CCHCR1;CCHCR1;CCHCR1;CCHCR1;CCHCR1;SQSTM1	Physical Interaction	
BAK1	BAK1;BAK;BAK-LIKE;BCL2L7;CDN1	578	GeneID:578;HGNC:HGNC:949;HPRD:02744;MIM:600516;ensembl_gene_id:ENSG00000030110	Homo sapiens	BAK1;MCL1;TP53;BCL2L1;BCL2;VDAC2;HSPD1;BCL2L2;BAX;ABCB10;BMH1;HERC1;BID;GIMAP5;ND5;RNF4;VIRMA;DFFA;ACTR2;FRYL;HSD17B4;DBN1;TOMM7;MYCBP2;BCL2A1;AKAP13;SRRM2;KRT31;ARHGDIA;NFKBIB;FBL;TOMM40;FBL;KRT31	Physical Interaction	
BAX	BAX;BCL2L4	581	GeneID:581;HGNC:HGNC:959;HPRD:02498;MIM:600040;ensembl_gene_id:ENSG00000087088	Homo sapiens	PMAIP1;BCL2;BCL2L1;BNIPL;SNCA;BCL2L10;YWHAQ;HSPD1;BAX;SH3GLB1;SLC25A4;MOAP1;MOAP1;BAK1;BCL2L2;MEPCE;TOMM40;TOMM22;UHRF2;PARK7;BAD;MCL1;CLU;XRCC6;KCNA3;CRYAA;CRYAB;VCP;BAG3;MDM2;ZBTB24;GIMAP5;LRRK2;BCL2L12;BCL2L11;PKM;BID;TP53;COQ9;C15orf48;OCIAD1;PPM1J;BCL2L15;HSD17B10;ND5;TRIM25;TRIM14;FGFR1;RNF4;ESR2;VIRMA;ANAPC4;FCGRT;CDC10;OYE2;CASP9;PRDX1;GUK1;PCBP1;CASP8;XRCC5;CASP3;BDP1;HSPA4;VDAC1;RNF144B;PRKN;CYCS;SEPT7;GSTK1;ERCC6;CASP7;EDRF1;PSMC3;SERPINH1;PRSS23;GEMIN2;NIN;YY1;BCL2A1;ATAD5;LIG3;PSMC5;C18orf21;SERPINB12;PNPLA6;PRDX2;NSFL1C;YWHAB;TXN2;HDAC6;LONRF3;XIAP;BDP1;BDP1;Bak1	Physical Interaction	
BBC3	BBC3;JFY-1;JFY1;PUMA	27113	GeneID:27113;HGNC:HGNC:17868;MIM:605854;ensembl_gene_id:ENSG00000105327	Homo sapiens	BCL2;MCL1;ALB;BCL2L1;BCL2A1;EGFR;BCL2L2;TNIP2;TP53;SET;H3F3A;EP300;CREBBP;MAP1LC3A;SQSTM1;SQSTM1;CHUK;FOXO3;NOL3	Physical Interaction	
BCL2	BCL2;Bcl-2;PPP1R50	596	GeneID:596;HGNC:HGNC:990;MIM:151430;ensembl_gene_id:ENSG00000171791	Homo sapiens	BNIPL;BNIP2;SMN1;SMN1;SMN1;TP53BP2;RTN4;Bcl2l11;BCL2L11;BBC3;BAD;CASP3;BCL2L1;BID;SOD1;EPHB2;PTPA;NR4A1;BIK;SPNS1;CAPN2;BAX;TP53AIP1;BCL2L10;RAF1;TOMM20;HRK;BLK;RAD9A;BCAP31;IRS1;PSEN1;ITM2B;BMF;HSPA1A;HSPA1A;HSPA1A;HSPA1A;HSPA1A;TMBIM6;MOAP1;MOAP1;PPP2CA;AVEN;CASP2;CASP8;PMAIP1;BNIP1;PARP1;BAG1;BLID;PRKN;TP53;HSP90AA1;CISD2;PPP1CA;PPP1CB;PPP1CC;ATG12;BFAR;BFAR;BRCA1;AMBRA1;PML;CRYAB;HIF1A;FKBP8;MAPK8;IKBKG;MDM4;BAG3;CDK1;BECN1;KEAP1;BNIP3;KRAS;BCL2;ATP2A3;SQSTM1;ITPR1;Bax;GIMAP5;NMT2;MAPK1;PPARA;BARD1;SQSTM1;BAK1;BLK;SEPT4;XIAP;TNIP2;BCL2L12;RNF183;VIRMA;PSEN2;ITLN1;PPP2R5A;MAT2A;HNRNPD;PPP3CA;PPID;VDAC1;PPP3CC;BNIP3L;IKBKB;MYC;CHUK;RTN3;CDK4;DYNLL1;IRS2;UBE2I;SERPINB8;MEX3D;PIN1;RRAS;Becn1	Physical Interaction;Genetic Interaction	Docetaxel;Ibuprofen;Rasagiline;Paclitaxel;E7389
BCL2L1	BCL2L1;Bcl-X;BCL-XL/S;BCL2L;BCLX;PPP1R52	598	GeneID:598;HGNC:HGNC:992;HPRD:02497;MIM:600039;ensembl_gene_id:ENSG00000171552	Homo sapiens	BAK1;Bcl2l11;BCL2L11;BBC3;BIK;BAD;BCL2;BNIPL;BAX;SPNS1;BCL2L14;BCL2L14;CYCS;RAF1;RTN4;RTN1;HRK;BLK;RAD9A;BCAP31;IRS1;APAF1;VDAC1;MOAP1;MOAP1;MCL1;IKZF3;CFLAR;AVEN;PSEN2;PSEN1;CASP2;CASP8;PMAIP1;BNIP1;BNIP3;PGAM5;BLID;UHRF2;PARK7;PPP1CA;PPP1CC;BFAR;BFAR;CRYAA;CRYAB;BECN1;CLU;Mapk1;ATXN3;AKT1;PRKN;TPT1;CDKN2A;BCL2L1;Bax;MTOR;GIMAP5;TP53;ABL1;HNRNPA1;CREB3;Hsph1;BID;MAPK8;USP14;USP27X;BLK;ced-9;ced-4;MTNR1B;PLK1;MAPK9;GSK3A;GSK3B;MAPKAPK2;MAPK14;CDK1;CHEK1;AURKA;PLK3;USP18;TNIP2;RNF4;BCL2L12;RNF183;RYR3;KRAS;CASP9;CAPZB;PINK1;EPHB2;DOCK7;PHGDH;TP53BP2;HNRNPU;YWHAQ;CAD;SPTBN1;RAB1A;ACTR2;PCBP1;CCT7;RANBP2;HSPD1;TUBA4A;HDAC4;CTNNB1;MST1R;RBM5;AP2M1;PDS5A;PRKAA1;LARP1;HIST1H1E;TUBB;FLOT1;BRD2;EEF1A1;CASP8AP2;ATG5;ACTB;IGF2BP3;HSPB1;GNAI1;PTN;PDIA4;BNIP3L;PRKDC;FABP5;WWP1;ZHX1;RPL8;TLE1;FBP1;RPL12;SPTAN1;SVIL;VDAC2;ABLIM1;EDRF1;GSTP1;RPS3;CASP1;GAPDH;PPHLN1;CDK2;RPS26;DYNLL1;ZNF219;BCL2L2;ZFYVE1;CALM1;BMF;UBR1;TMOD3;RPS15A;VAC14;GLOD4;MYO1C;MYH10;PSMD11;JUP;SLC16A5;METTL23;HGS;MYO5B;DOT1L;TYK2;FKBP8;PLD3;CKM;TOP1;GNAS;YWHAH;MIEF1;TUBB;FLOT1;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;TUBB;FLOT1;BRD2;CASP8AP2	Physical Interaction;Genetic Interaction	4'-FLUORO-1,1'-BIPHENYL-4-CARBOXYLIC ACID
BCL2L11	BCL2L11;BAM;BIM;BOD	10018	GeneID:10018;HGNC:HGNC:994;HPRD:04828;MIM:603827;ensembl_gene_id:ENSG00000153094	Homo sapiens	BCL2L2;BCL2L1;DYNLL2;DYNLL1;Vdac1;VDAC1;BCL2;BTK;MCL1;Trim2;Akt1;UBQLN2;HSPA4;CUL2;VHL;RACK1;CISH;BTRC;FBXW11;MAPK8;BAG3;ATP6V1G1;AURKB;NDRG1;MAGEA11;GIMAP5;BCL2A1;EDNRA;KIF22;USP27X;MAPK1;MAPK3;SLC39A12;KLHL10;P4HA3;SLC18A1;ADAM32;ADAM32;PCDHB11;TNIP2;CSK;MTHFR;GADD45A;CD302;TRIM2;FEM1C;GTF2I;FGL1;MTA2;ANKLE2;ELOB;ATP2A3;RIOK3;RHPN2;BAX;YWHAB;AURKA;APP;SMARCB1;SMARCB1	Physical Interaction;Genetic Interaction	
BID	BID;FP497	637	GeneID:637;HGNC:HGNC:1050;MIM:601997;ensembl_gene_id:ENSG00000015475	Homo sapiens	BCL2;BCL2L1;BCL2L2;MCL1;EZR;FAS;MSN;RHOA;ARHGDIA;BID;CAPN2;CASP2;CASP3;CASP8;ITCH;SQSTM1;VCP;CAV1;BAG3;GZMB;MOV10;NXF1;BCL2A1;FCGR2A;FADD;CDC5L;SQSTM1;ARL6IP6;MBD5;HSD17B10;TRIM25;GATD3A;DDAH2;DDAH2;DDAH2;DDAH2;DDAH2;DDAH2;DDAH2;HINT1;MPST;TBCA;CBX5;GIPC1;TPT1;RPA2;GBP2;AHCYL1;SETDB1;FASLG;C1orf198;REL;RAB11FIP5;CASP10;SUMO1;CRMP1;TUBB2B;BAK1;FOXK1;RBM48;TNFRSF10B;ZHX1;TLE1;MAPK8;TNFRSF1A;GAPDH;ERG28;NUP93;RPA1;PLEKHM1;FBN3;BAX;CRNKL1;CSNK1E;UBQLN2;PLEKHM1;PLEKHM1	Physical Interaction	
