Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
CASP10	CASP10;ALPS2;FLICE2;MCH4	843	GeneID:843;HGNC:HGNC:1500;HPRD:03458;MIM:601762;ensembl_gene_id:ENSG00000003400	Homo sapiens	BID;EZR;FAS;MAPK8;MSN;RHOA;ARHGDIA;CASP8;FADD;TNFRSF1A;CFLAR;TNFRSF10A;TNFRSF10B;RYBP;RYBP;CASP10;CASP14;AIF1;MCA1;BFAR;BFAR;Dlg4;Dlg4;PRDX6;XIAP;RNF34;BIRC2;BIRC3;SERPINB9;PSMD14;FAR7;ASG1;SSM4;MPH1;GLN3;AIM9;PTC2;ATG1;KSS1;PPH22;STE7;PPH21;PMT5;NTH1;PPH3;VPS64;SSN2;ATG8;PTC3;FUS3;STE20;GPA1;SLT2;ITT1;FAR8;MSN2;FAR3;ATG4;WHI3;FAR11;ORT1;BFR1;LDB18;FAR10;STE11;MDM30;GAL4;TPK2;CUP9;VPS30;RPL21B;ATG13;TPK1;TPK3;CWP1;MBR1;CASP9;DEDD;FASLG;EEF1AKMT4-ECE2;CASP6;CASP3;RIPK1;NFKBIL1;CASP8AP2;CASP2;PHF20L1;TRAF1;CASP7;CASP4;CASP1;RB1;OIP5;MAP3K14;RIOK3;DEDD2;NFKBIL1;NFKBIL1;NFKBIL1;NFKBIL1;NFKBIL1;NFKBIL1;CASP8AP2	Physical Interaction;Genetic Interaction	
CASP8	CASP8;ALPS2B;CAP4;Casp-8;FLICE;MACH;MCH5	841	GeneID:841;HGNC:HGNC:1509;HPRD:03459;MIM:601763;ensembl_gene_id:ENSG00000064012	Homo sapiens	BID;EZR;FAS;MAPK8;MSN;CASP10;RHOA;ARHGDIA;FASLG;CASP8;TFCP2;CFLAR;FADD;BCAP31;TNFRSF10A;TNFRSF10B;APAF1;NOD1;PEA15;BCL2;HIP1;IFT57;CASP6;CHUK;IKBKB;DEDD2;DEDD;CASP8AP2;CASP14;AIF1;MCA1;RALGDS;PTEN;PTEN;RIPK1;KHDRBS1;MAP1LC3B;MAP1LC3A;TNFSF10;CEBPB;TRAF6;BFAR;BFAR;TP53;LRRK2;FIS1;CUL3;TRAF2;GZMB;SQSTM1;HECTD3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;PRDX6;BAX;ERLIN2;RNF34;XIAP;BIRC2;BIRC3;BLM;GMNN;MLKL;Ppp2r1a;Vangl1;CASP8AP2;SQSTM1;TLR3;OPTN;RYBP;RYBP;SERPINB9;MAPK14;FAF1;TNFAIP3;SRC;MYC;BECN1;TRADD;RIPK3;RIPK3;DYNC1LI1;DYNC1LI2;PARK7;ERRFI1;MTOR;CASP9;YBX1;VPS45;S100A14;IL24;PARP1;PDIA6;GREB1;NLRC4;BIRC6;VHL;PRSS50;BAP1;UMPS;CNBP;PRKCI;SOX2;QDPR;CASP3;PPP2CA;CARD11;AGR3;COPS6;HBP1;CASP2;NSD3;PRDM14;ATAD2;TOPORS;TRAF1;CDK9;VIM;SORBS1;CASP7;SCGB2A2;CASP4;CASP1;CRYAB;USP2;BLID;CHEK1;ST14;TNFRSF1A;CDKN1B;HDAC7;NR1H4;UBC;EPSTI1;RB1;PLA2G4B;BCL2L10;GLCE;NOL3;CDH13;CHD3;CASC3;PSMC3IP;MAP3K14;MAPT;RALBP1;PIK3C3;SERPINB5;PLIN4;TICAM1;ANGPTL4;ATG4D;CLIP3;ATP1A3;LYPD3;KLK5;KLK9;BCL2L1;MAPK1;SNRPD3;BEX1;TSC22D3;IL13RA2;MAPT;MAPT;Sqstm1;HBP1;ced-4	Physical Interaction;Genetic Interaction	
CHUK	CHUK;IKBKA;IKK-alpha;IKK1;IKKA;NFKBIKA;TCF16	1147	GeneID:1147;HGNC:HGNC:1974;MIM:600664;ensembl_gene_id:ENSG00000213341	Homo sapiens	FANCA;TRPC4AP;PPM1B;MAP3K14;IKBKG;MAP3K8;MAP3K7;NFKB1;IKBKB;AKT2;PRKDC;CHUK;TRAF2;TANK;CTNNB1;IRAK1;AKT1;MAP3K11;NCOA3;NFKBIA;TNFAIP3;UBE2I;TRAF3IP2;UBE2N;Pebp1;TP73;NFKB2;EP300;PRKCQ;CUEDC2;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;PRKCA;PRKCI;PRKCD;DUSP1;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;ARRB2;CHEK1;HSP90AA1;ERC1;ERC1;TP63;PIAS1;CSNK2A1;CLU;MAP3K1;TNIP2;EIF2AK2;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;PPP2CA;FOXO3;STAP2;TNFRSF1A;TNFRSF1B;TRAF1;BTRC;CREBBP;BCL2;MAGED1;BCL10;SRC;SMAD3;SMAD2;DHX40;DHX29;CARD11;MYC;ELAVL1;HSPB1;PYCARD;NLRC5;AURKA;TPX2;PPP1CA;ATG16L2;EGLN3;SRPK2;SRPK1;MYH14;STUB1;HNRNPA1;PSMD9;CDC37;FKBP5;MTOR;RPTOR;RELA;TP53;RICTOR;SHARPIN;CD40;NTRK1;XPO1;MAP3K3;PRKCB;COMMD7;GLI1;USP18;Nt5c3;SMN1;SMN1;SMN1;TRIM22;PSG1;FAM196A;SHC4;UBC;ELP1;ATR;IFIT5;CFTR;LRRC14;RNF8;SPATA2;RIPK1;PTEN;PTEN;BBC3;KEAP1;FADD;KLHL21;HIST2H3C;CDC73;IKBKE;PAX8;CASP8;IRS1;PPP4R2;HTT;ERBIN;SASH1;TAB2;ESR1;MAP3K4;IRF5;CUL1;COPS5;RIPK2;TRAF6;AMBRA1;DCUN1D5;NCOR2;PPP4C;TRADD;E2F4;NCOR1;COPS3;TRAF4;RPL27;MYL12A;PPP4R1;NFKBIB;PAF1;BCL3;NLRP2;NLRP4;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2	Physical Interaction;Genetic Interaction;Chemical Interaction	Acetylcysteine;Aminosalicylic Acid;Mesalazine;Sulfasalazine
DDX58	DDX58;RIG-I;RIGI;RLR-1;SGMRT2	23586	GeneID:23586;HGNC:HGNC:19102;HPRD:13131;MIM:609631;ensembl_gene_id:ENSG00000107201	Homo sapiens	UBE2K;UBE2D1;UBE2D2;UBE2D3;TRIM25;MAVS;RNF31;THAP12;PRKCA;PRKCB;PRKCG;ISG15;TRIM32;DDX58;MBP;USP4;NLRC5;USP21;USP3;RNF135;VAPA;UBD;UBD;UBD;UBD;UBD;UBD;UBD;RNF31;NOP53;HDAC6;RNF122;TRIM14;PPP6C;WRNIP1;FBXW7;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;ZCCHC3;STUB1;SQSTM1;SQSTM1;LRRC25;VIRMA;PPARG;USP14;IKBKE;TIA1;WDR82;RAI14;IRGM;PPIA;KMT2E;IFIT3;CBL;USP15;TBK1;PTPN11;UBC;CYLD;MEX3C;FKBP8;IRF3;RBCK1;SRC;Ubc;TSPAN6;IKBKG;Casp12;Trim25;Trim25	Physical Interaction	
EIF2AK2	EIF2AK2;EIF2AK1;PKR;PPP1R83;PRKR	5610	GeneID:5610;HGNC:HGNC:9437;MIM:176871;ensembl_gene_id:ENSG00000055332	Homo sapiens	DBNL;FANCC;PRKRIP1;STAT1;PPP1CA;TP53;ILF3;METAP2;DNAJC3;EIF2AK2;TARBP2;MAP3K5;PRKRA;CHUK;IKBKB;EIF2S1;DHX58;MAVS;HDGF;ELAVL1;MAP3K7;ISG15;CUL3;CAND1;Jak2;HSP90AA1;NPM1;DHX9;PTGES3;HECW2;STAU2;EGFR;TRAF2;TRAF5;SUI2;CYP1A1;CCNA2;NTRK1;IFI16;SCARB2;RPL10;ELMSAN1;CDCA5;CHMP4B;Kif18b;Rrbp1;MACROD1;MCM2;CDC37;THAP12;MECP2;GPX7;IQCF1;PTEN;PTEN;COX15;DLD;DLST;MIRLET7A1;MIRLET7A2;MIRLET7A3;MIRLET7B;MIRLET7C;MIRLET7D;MIRLET7E;MIRLET7F1;MIRLET7F2;MIRLET7G;MIRLET7I;MIR98;MIR1-1;MIR1-2;MIR7-1;MIR7-2;MIR7-3;MIR9-1;MIR9-2;MIR9-3;MIR10B;MIR15A;MIR15B;MIR16-1;MIR16-2;MIR17;MIR18A;MIR18B;MIR19A;MIR19B1;MIR19B2;MIR20A;MIR20B;MIR21;MIR25;MIR29A;MIR29B1;MIR29B2;MIR29C;MIR31;MIR34A;MIR34B;MIR34C;MIR92A1;MIR92A2;MIR93;MIR106A;MIR106B;MIR107;MIR122;MIR128-1;MIR128-2;MIR138-1;MIR138-2;MIR140;MIR141;MIR143;MIR145;MIR155;MIR199A1;MIR199A2;MIR200A;MIR200B;MIR200C;MIR205;MIR206;MIR214;MIR221;MIR222;MIR363;MIR429;MIR451A;TRIP4;PCBP1;EFTUD2;ESR2;LARP7;RECQL4;MYC;PHB;TPT1;NR2C2;HDAC2;NHLRC2;NT00079195;HNRNPCL1;PABPC4;EBNA1BP2;JAK1;MOV10;HIST2H2AC;ILF2;LMNA;PPP2R5A;SSB;FARSB;DHX30;GNL3;EIF2A;IGF2BP2;LYAR;RPS3A;IL7R;PURA;PDGFRB;ZNF346;HIST1H2AB;HIST1H1C;IGF2BP3;IFRD1;ATP6V1F;GTPBP4;NOC3L;TOLLIP;TRAF6;NOP2;PPP1CC;RPL6;RPLP0;HNRNPC;DICER1;RPS2;EDC4;STAT3;FTSJ3;CDK3;TYK2;FARSA;CCDC124;NOP53;XRN2;EIF6;TOP1;STAU1;KCTD17;HNRNPCL1	Physical Interaction;Genetic Interaction	
FADD	FADD;GIG3;MORT1	8772	GeneID:8772;HGNC:HGNC:3573;HPRD:03909;MIM:602457;ensembl_gene_id:ENSG00000168040	Homo sapiens	ABCA1;RHOA;ARHGDIA;BID;EZR;FAS;MAPK8;MSN;CASP10;CASP8;FASLG;MBD4;NACA;MOB4;CFLAR;RIPK1;RYBP;RYBP;DAP3;TNFRSF10B;TNFRSF10A;PEA15;HIPK3;PIDD1;CASP8AP2;TRADD;TNFRSF1A;RALGDS;MAVS;KHDRBS1;TAB1;TNFSF10;FAF1;EDAR;BMX;LRRK2;IKBKG;PARK7;Fas;TRAF2;CUL3;MKRN1;RIPK3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;ATG5;Naca;NAXE;EHD1;RAP1A;CASP8AP2;RIPK3;TLR3;FADD;PIN1;STUB1;TANK;TRPC6;SQSTM1;SQSTM1;PRKCZ;AKR7A2;KIF2C;DEDD;NLRC4;RHOQ;IL37;MYD88;ROBO2;CCDC50;NDNF;SLC7A11;TPPP;ATG12;CSNK1A1;TNIP1;DAXX;TNFAIP3;NUPL2;DAPK1;EPB41L4B;GOLGA7B;CHUK;IRF7;TRIM21;THAP12;RNF41;IGHA1;CKMT1A;ULK3;NOL3;DNAAF1;SPOP;SDK2;ACTG1;CSNK1D;S1PR2;CLIP3;NEFH;PRDX4;IRF7;IGHA1;DAXX;DAXX;DAXX;DAXX	Physical Interaction;Genetic Interaction	
FOS	FOS;AP-1;C-FOS;p55	2353	GeneID:2353;HGNC:HGNC:3796;HPRD:01275;MIM:164810;ensembl_gene_id:ENSG00000170345	Homo sapiens	RELA;NELFB;NCOA6;NCOA1;BCL3;RPS6KA4;CREBBP;JUN;SPI1;DDIT3;SMAD3;TSC22D3;ETS2;NACA;MITF;VDR;TBP;TAF1;RUNX2;RUNX1;PML;NCOR2;XBP1;HNF1A;ATF2;RPS6KA2;MAZ;UBR1;MAPK7;POLR2E;EP300;UBE2I;UBE2D1;UBE2L3;SIRT1;MAFB;MAF;MAFF;ATF3;ATF4;FOS;JUNB;CEBPE;CEBPA;CEBPG;ABL1;Psma4;AQP1;EGFR;STAT1;DNMT3L;KDM2B;NFATC2;NFATC1;NFAT5;TRX3;HIRA;UBN1;ASF1A;FHL3;HIF1A;PIN1;MAPK3;CCND1;Lmo7;HIST1H4A;SSU72;STK40;PRKAA2;FNBP1L;TSPAN2;ANP32E;USF1;CENPO;HOXD13;MTERF4;GLB1;SMARCC1;ATP5ME;ANKRD17;COPS4;TRAPPC13;MAP1B;NR2F1;HSD17B4;ANKHD1;SRA1;MAPK9;VARS;HSPA1A;GLO1;VEGFA;ESR1;CREB5;GNG11;NEFM;CLU;GTF2E2;NCOA2;TRIB1;EEF1D;GRHPR;SET;KDM2A;MED17;LMO3;ATF7;SMARCC2;YEATS4;PPP1R12A;CABP1;ARL6IP4;KBTBD7;GTF2F2;RB1;LMO7;TCL1A;DET1;NFATC2IP;CSNK2A2;UTP4;NQO1;SMARCE1;PSMC5;FAAP100;GAMT;GTF2F1;KHSRP;CARM1;NFIX;NR2F6;JUND;USF2;FOSB;IL11;CSNK2A1;ZNF133;AHCY;NCOA3;ARFGAP1;APP;MAPK1;CHEK2;CYTH4;DDX17;LUZP4;MTMR1;VARS;HSPA1A;EEF1D;UTP4;VARS;HSPA1A;VARS;HSPA1A;VARS;VARS;HSPA1A;VARS;COP1	Physical Interaction;Genetic Interaction	Pseudoephedrine;Nadroparin
IFIH1	IFIH1;AGS7;Hlcd;IDDM19;MDA-5;MDA5;RLR-2;SGMRT1	64135	GeneID:64135;HGNC:HGNC:18873;HPRD:09507;MIM:606951;ensembl_gene_id:ENSG00000115267	Homo sapiens	MAVS;PIAS2;PCBP2;NLRC5;USP21;USP3;PTEN;PTEN;G3BP1;Hdac6;Sart1;Ccdc9;MPZL1;RNF123;ARRDC4;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM65;IFIH1;ZCCHC3;PPIA;IDE;TRIM25;APP;TSPAN6	Physical Interaction;Genetic Interaction	
IKBKB	IKBKB;IKK-beta;IKK2;IKKB;IMD15;NFKBIKB	3551	GeneID:3551;HGNC:HGNC:5960;HPRD:04462;MIM:603258;ensembl_gene_id:ENSG00000104365	Homo sapiens	TRPC4AP;PPM1B;NFKB1;PRKCQ;IKBKG;PRKDC;TRAF2;CTNNB1;IRAK1;FANCA;MAP3K11;TNFRSF1A;NCOA3;NFKBIA;MAP3K14;TRAF3IP2;CHUK;IKBKB;MAP3K1;Pebp1;CUEDC2;AKT1;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;PRKCA;PRKCI;PRKCD;DUSP1;KEAP1;CUL3;COPS7A;MAP3K7;TRIM21;HNRNPU;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;BTRC;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;MAPK14;PLK1;ERC1;ERC1;TP63;HOMER3;RIPK1;TRAF6;USP4;BRAP;BCL10;TNIP2;SRC;PPP2R3C;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TP73;TRAPPC9;FAF1;PPP2CA;MEOX2;CDKN2A;FOXO3;STAP2;CSF2RA;CSF2RA;CSF2RB;CREBBP;NAA20;BCL2;DPP4;TAB1;PRKCE;HSPB1;PYCARD;NLRC5;TAB2;IKBKE;AURKA;TPX2;PPP1CA;COPS5;NGFR;EGLN3;FLNC;CDC37;ROCK1;MTOR;RPTOR;Snap23;RICTOR;PPARG;SHARPIN;CD40;Cdc37;BIRC3;HSP90AB1;PRKCB;STK26;COMMD7;MACROD1;LATS2;GLI1;USP18;RELA;SMN1;SMN1;SMN1;KLHL21;TAB3;PSG1;UBC;ELP1;MALT1;TNIK;IFIT5;LRRC14;ANGPTL8;RNF8;VHL;SPATA2;TANK;MTDH;SASH1;DHCR24;JUN;MUC1;EIF2AK2;EPAS1;PELI1;CASP8;IRS1;PPP4R2;MAP3K13;HTT;COPS4;FKBP5;TNFAIP3;TWIST1;SLC25A13;CUL1;TRAF1;TSC1;PRDX3;SLC25A22;NLRX1;FKBP4;RAN;PYGL;HIF1A;HSP90AA1;PPP4C;E2F4;TP53;COPS3;CLTC;PPP4R1;NEDD4L;NFKBIB;PPP1R15A;NLRP2;MAVS;ITCH;TFAP2C;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2;NLRP2	Physical Interaction	Sulfasalazine;Arsenic trioxide;Auranofin;Acetylcysteine;Mesalazine;Acetylsalicylic acid
IKBKE	IKBKE;IKK-E;IKK-i;IKKE;IKKI	9641	GeneID:9641;HGNC:HGNC:14552;MIM:605048;ensembl_gene_id:ENSG00000263528	Homo sapiens	TANK;MAVS;AZI2;TBKBP1;TBK1;TNIP1;TAX1BP1;IKBKG;CHUK;IKBKB;TOPORS;PML;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRAF2;RNF11;DDX3X;HSP90AA1;CYLD;IKBKE;BIRC2;BIRC3;TRAF3IP2;MAFB;DDX58;TRIM6;CD209;ESR1;TRAF3;TRAF6;TMEM173;YPEL5;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNFRSF1A;PSMB1;ZC3H12A;CCT3;DSTYK;EPRS;PDIA6;ROCK2;LRPPRC;CCT4;ATIC;MYD88;IMPDH2;WDR82;CCT5;LARS;RIPK1;FKBP5;TNFAIP3;TCP1;CCT6A;SND1;PABPC1;VCP;IFIT3;RELA;YAP1;HYOU1;CCT2;UBC;NFKBIA;KTN1;NMRAL1;MYH10;ACLY;CALCOCO2;CLTC;APPBP2;MBP;CDC37;RUVBL2;IRF3;PPP2R1A;PSMA7;CCT8;PLS3;XIAP;HYOU1;NMRAL1	Physical Interaction	
